id,distance,n_actions
0,0.155528,2
1,0.218902,2
2,0.160305,1
3,0.118321,1
4,0.145038,1
5,0.076169,2
6,0.160305,1
7,0.087786,1
8,0.145038,1
9,0.003817,1
10,0.194656,1
11,0.187023,1
12,0.158166,2
13,0.064885,1
14,0.103937,2
15,0.079192,2
16,0.114337,2
17,0.217557,1
18,0.026718,1
19,0.129771,1
20,0.083969,1
21,0.038168,1
22,0.202290,1
23,0.156489,1
24,0.179223,2
25,0.095420,1
26,0.075954,1
27,0.087023,1
28,0.095420,1
29,0.190212,2
30,0.064885,1
31,0.096947,1
32,0.103435,1
33,0.125954,1
34,0.110687,1
35,0.130153,1
36,0.143130,1
37,0.166031,1
38,0.032061,1
39,0.111443,2
40,0.086260,1
41,0.110687,1
42,0.106489,1
43,0.119991,2
44,0.116794,1
45,0.021756,1
46,0.196701,2
47,0.022519,1
48,0.052672,1
49,0.095866,2
50,0.047328,1
51,0.122901,1
52,0.123282,1
53,0.079008,1
