((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (57.25, 64.25>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((age, (age, (32.5, 34.5>) -> (age, (25.5, 28.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((priorzdv, (priorzdv, (112.0, 123.0>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((age, (age, (32.5, 34.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (53.75, 57.25>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)) AND (priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (57.25, 64.25>) -> (cd4, (53.75, 57.25>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((sex, (sex, (-inf, 1.5>) -> (sex, (-inf, 1.5>)) AND (priorzdv, (priorzdv, (33.5, 89.0>) -> (priorzdv, (31.5, 33.5>)))
((age, (age, (43.5, 53.5>) -> (age, (25.5, 28.5>)))
