attribute,value
pressureInd,"(-inf, 36.36041025584155>"
pressureInd,"(36.36041025584155, 51.05151778129845>"
pressureInd,"(51.05151778129845, 64.5742736698187>"
pressureInd,"(64.5742736698187, 69.41534395693091>"
pressureInd,"(69.41534395693091, 70.10689885096716>"
pressureInd,"(70.10689885096716, 75.15544596033995>"
pressureInd,"(75.15544596033995, 75.2783099564192>"
pressureInd,"(75.2783099564192, 75.58607590209095>"
pressureInd,"(75.58607590209095, 75.66673329804391>"
pressureInd,"(75.66673329804391, 75.73133706681965>"
pressureInd,"(75.73133706681965, 75.91571387308329>"
pressureInd,"(75.91571387308329, 79.6170551812712>"
pressureInd,"(79.6170551812712, 81.04029445003285>"
pressureInd,"(81.04029445003285, 92.87709345469776>"
pressureInd,"(92.87709345469776, 93.6917915897197>"
pressureInd,"(93.6917915897197, 94.6482769204357>"
pressureInd,"(94.6482769204357, 95.8074487871441>"
pressureInd,"(95.8074487871441, 95.819708208992>"
pressureInd,"(95.819708208992, 96.0557514688611>"
pressureInd,"(96.0557514688611, 96.13050873403564>"
pressureInd,"(96.13050873403564, 96.15669555812369>"
pressureInd,"(96.15669555812369, 96.3837361511228>"
pressureInd,"(96.3837361511228, 98.1052924269175>"
pressureInd,"(98.1052924269175, 100.320536707545>"
pressureInd,"(100.320536707545, 101.136547458738>"
pressureInd,"(101.136547458738, 103.7221861171135>"
pressureInd,"(103.7221861171135, 103.7895836982815>"
pressureInd,"(103.7895836982815, 103.79406983272>"
pressureInd,"(103.79406983272, 103.88611743448149>"
pressureInd,"(103.88611743448149, 103.90062930648949>"
pressureInd,"(103.90062930648949, 105.1716425437295>"
pressureInd,"(105.1716425437295, 107.225535219194>"
pressureInd,"(107.225535219194, 107.87575748254051>"
pressureInd,"(107.87575748254051, 109.104416330575>"
pressureInd,"(109.104416330575, 109.19867081631651>"
pressureInd,"(109.19867081631651, 113.151253368125>"
pressureInd,"(113.151253368125, 135.01894862498102>"
pressureInd,"(135.01894862498102, 143.67871042876249>"
pressureInd,"(143.67871042876249, inf)"
temperatureInd,"(-inf, 45.45783315905889>"
temperatureInd,"(45.45783315905889, 50.0695487503632>"
temperatureInd,"(50.0695487503632, 52.8199068607465>"
temperatureInd,"(52.8199068607465, 52.87983310943035>"
temperatureInd,"(52.87983310943035, 52.9807920598129>"
temperatureInd,"(52.9807920598129, 56.35274373079705>"
temperatureInd,"(56.35274373079705, 61.19346547392145>"
temperatureInd,"(61.19346547392145, 68.84095448119629>"
temperatureInd,"(68.84095448119629, 70.32836645453236>"
temperatureInd,"(70.32836645453236, 70.80767243125226>"
temperatureInd,"(70.80767243125226, 71.6201690405774>"
temperatureInd,"(71.6201690405774, 79.5658744189637>"
