id,p
0,0.000007
1,0.000003
2,0.000345
3,0.000003
4,0.000003
5,0.000003
6,0.000003
7,0.000035
8,0.000016
9,0.000016
10,0.000003
11,0.000003
12,0.000003
13,0.000003
14,0.000003
15,0.000003
16,0.000003
17,0.000003
18,0.000016
19,0.000016
20,0.000003
21,0.000003
22,0.000007
23,0.000068
24,0.000007
25,0.000016
26,0.000016
27,0.000003
28,0.000007
29,0.000003
30,0.000035
31,0.000016
32,0.000007
33,0.000003
34,0.000003
35,0.000016
36,0.000007
37,0.000003
38,0.000016
39,0.000016
40,0.000003
41,0.000003
42,0.000007
43,0.000016
44,0.000003
45,0.000003
46,0.000016
47,0.000003
48,0.000016
49,0.000003
50,0.000035
51,0.000003
52,0.000003
53,0.000003
54,0.000007
55,0.000016
56,0.000732
57,0.000003
58,0.000035
59,0.000035
60,0.000016
61,0.000003
62,0.000078
63,0.000016
64,0.000016
65,0.000016
66,0.000003
67,0.000007
68,0.000003
69,0.000016
70,0.000003
71,0.000003
72,0.000016
73,0.000003
74,0.000007
75,0.000003
76,0.000035
77,0.000016
78,0.000003
79,0.000035
80,0.000007
81,0.000016
82,0.000003
83,0.000003
84,0.000003
85,0.000007
86,0.000003
87,0.000016
88,0.000003
89,0.000003
90,0.000016
91,0.000016
92,0.000007
93,0.000016
94,0.000003
95,0.000016
96,0.000016
97,0.000003
98,0.000016
99,0.000003
