attribute,value
cd4,"(-inf, 0.5>"
cd4,"(0.5, 1.0>"
cd4,"(1.0, 2.0>"
cd4,"(2.0, 2.25>"
cd4,"(2.25, 3.75>"
cd4,"(3.75, 4.75>"
cd4,"(4.75, 7.75>"
cd4,"(7.75, 11.75>"
cd4,"(11.75, 18.75>"
cd4,"(18.75, 23.25>"
cd4,"(23.25, 53.75>"
cd4,"(53.75, 57.25>"
cd4,"(57.25, 64.25>"
cd4,"(64.25, 64.75>"
cd4,"(64.75, 65.0>"
cd4,"(65.0, 71.25>"
cd4,"(71.25, 72.25>"
cd4,"(72.25, 78.25>"
cd4,"(78.25, 86.0>"
cd4,"(86.0, 370.0>"
cd4,"(370.0, inf)"
priorzdv,"(-inf, 4.5>"
priorzdv,"(4.5, 5.0>"
priorzdv,"(5.0, 5.5>"
priorzdv,"(5.5, 7.5>"
priorzdv,"(7.5, 8.5>"
priorzdv,"(8.5, 9.5>"
priorzdv,"(9.5, 31.5>"
priorzdv,"(31.5, 33.5>"
priorzdv,"(33.5, 89.0>"
priorzdv,"(89.0, 91.5>"
priorzdv,"(91.5, 98.0>"
priorzdv,"(98.0, 99.5>"
priorzdv,"(99.5, 100.5>"
priorzdv,"(100.5, 112.0>"
priorzdv,"(112.0, 123.0>"
priorzdv,"(123.0, 128.0>"
priorzdv,"(128.0, inf)"
age,"(-inf, 15.5>"
age,"(15.5, 23.5>"
age,"(23.5, 25.5>"
age,"(25.5, 28.5>"
age,"(28.5, 29.5>"
age,"(29.5, 30.0>"
age,"(30.0, 30.5>"
age,"(30.5, 32.5>"
age,"(32.5, 34.5>"
age,"(34.5, 40.5>"
age,"(40.5, 43.5>"
age,"(43.5, 53.5>"
age,"(53.5, 56.5>"
age,"(56.5, 61.0>"
age,"(61.0, 64.0>"
age,"(64.0, 64.5>"
age,"(64.5, 65.0>"
age,"(65.0, 66.0>"
age,"(66.0, 66.5>"
age,"(66.5, 69.0>"
age,"(69.0, inf)"
ivdrug,"(-inf, 2.5>"
ivdrug,"(2.5, inf)"
strat2,"(-inf, 0.5>"
strat2,"(0.5, inf)"
karnof,"(-inf, 85.0>"
karnof,"(85.0, 95.0>"
karnof,"(95.0, inf)"
raceth,"(-inf, 3.5>"
raceth,"(3.5, inf)"
tx,"(-inf, 0.5>"
tx,"(0.5, inf)"
sex,"(-inf, 1.5>"
sex,"(1.5, inf)"
hemophil,"(-inf, 0.5>"
hemophil,"(0.5, inf)"
txgrp,"(-inf, 2.5>"
txgrp,"(2.5, inf)"
