id,left,right
0,107,20
1,657,20
2,61,20
3,136,20
4,18,20
5,657,20
6,643,23
7,628,20
8,107,20
9,657,20
10,136,20
11,657,20
12,657,20
13,107,20
14,657,20
15,42,21
16,42,21
17,657,20
18,20,20
19,53,20
20,657,20
21,657,20
22,628,20
23,19,21
24,628,20
25,107,20
26,71,21
27,657,20
28,107,20
29,657,20
30,657,20
31,45,21
32,657,20
33,657,20
34,657,20
35,657,20
36,107,20
37,5,21
38,163,21
39,657,20
40,107,20
41,107,20
42,657,20
43,107,20
44,136,20
45,657,20
46,63,20
47,7,21
48,643,23
49,657,20
50,657,20
51,657,20
52,657,20
53,0,20
54,53,20
55,657,20
56,107,20
57,6,20
58,657,20
59,41,20
60,3,21
61,657,20
62,63,20
63,628,20
64,136,20
65,121,23
66,107,20
67,39,20
68,657,20
69,657,20
70,628,20
71,628,20
72,628,20
73,657,20
74,41,20
75,109,21
76,105,21
77,657,20
78,657,20
79,657,20
80,657,20
81,657,20
82,643,23
83,0,21
84,628,20
85,163,21
86,5,21
87,657,20
