((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (75.0, 80.0>) -> (age, (13.0, 42.5>)))
((thick, (thick, (2.17, 3.38>) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (13.0, 42.5>) -> (age, (13.0, 42.5>)))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (-inf, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (-inf, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (52.5, 63.0>) -> (age, (13.0, 42.5>)))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (63.0, 75.0>) -> (age, (13.0, 42.5>)))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (-inf, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (75.0, 80.0>) -> (age, (13.0, 42.5>)))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (13.0, 42.5>) -> (age, (13.0, 42.5>)))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (-inf, 1.5>) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (2.17, 3.38>) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (63.0, 75.0>) -> (age, (13.0, 42.5>)))
((thick, (thick, (3.38, inf)) -> (thick, (-inf, 1.8599999999999999>)) AND (age, (age, (52.5, 63.0>) -> (age, (13.0, 42.5>)))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (2.02, 2.17>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (1.5, inf)) -> (ici, (1.5, inf))))
((thick, (thick, (-inf, 1.8599999999999999>) -> (thick, (3.38, inf))) AND (ulcer, (ulcer, {not present}) -> (ulcer, {present})) AND (ici, (ici, (-inf, 1.5>) -> (ici, (1.5, inf))))
