attribute,value
pressureInd,"(-inf, 36.36041025584155>"
pressureInd,"(36.36041025584155, 49.09786607792125>"
pressureInd,"(49.09786607792125, 51.9799369816342>"
pressureInd,"(51.9799369816342, 70.0737438067719>"
pressureInd,"(70.0737438067719, 70.10689885096716>"
pressureInd,"(70.10689885096716, 70.1668514234095>"
pressureInd,"(70.1668514234095, 75.66673329804391>"
pressureInd,"(75.66673329804391, 75.75137737007105>"
pressureInd,"(75.75137737007105, 79.1248017768402>"
pressureInd,"(79.1248017768402, 89.12474562517065>"
pressureInd,"(89.12474562517065, 89.13821162682335>"
pressureInd,"(89.13821162682335, 90.22222066778104>"
pressureInd,"(90.22222066778104, 90.78316040074975>"
pressureInd,"(90.78316040074975, 90.7908608071846>"
pressureInd,"(90.7908608071846, 90.81591643175585>"
pressureInd,"(90.81591643175585, 93.6703379127845>"
pressureInd,"(93.6703379127845, 93.7991225408945>"
pressureInd,"(93.7991225408945, 96.13050873403564>"
pressureInd,"(96.13050873403564, 97.0683206016285>"
pressureInd,"(97.0683206016285, 97.54872531946445>"
pressureInd,"(97.54872531946445, 98.84731045793416>"
pressureInd,"(98.84731045793416, 101.093227697554>"
pressureInd,"(101.093227697554, 101.17128859565801>"
pressureInd,"(101.17128859565801, 103.7221861171135>"
pressureInd,"(103.7221861171135, 103.774948390073>"
pressureInd,"(103.774948390073, 103.7895836982815>"
pressureInd,"(103.7895836982815, 103.79406983272>"
pressureInd,"(103.79406983272, 103.905370346377>"
pressureInd,"(103.905370346377, 105.903834316623>"
pressureInd,"(105.903834316623, 108.6283707844515>"
pressureInd,"(108.6283707844515, 113.02886983843>"
pressureInd,"(113.02886983843, 134.00829656915>"
pressureInd,"(134.00829656915, 135.966908134888>"
pressureInd,"(135.966908134888, 141.8555476871615>"
pressureInd,"(141.8555476871615, 148.589149744321>"
pressureInd,"(148.589149744321, 161.7115103210685>"
pressureInd,"(161.7115103210685, inf)"
temperatureInd,"(-inf, 50.0695487503632>"
temperatureInd,"(50.0695487503632, 52.8199068607465>"
temperatureInd,"(52.8199068607465, 53.22508305626405>"
temperatureInd,"(53.22508305626405, 53.66485688728565>"
temperatureInd,"(53.66485688728565, 54.50182826696895>"
temperatureInd,"(54.50182826696895, 55.215567252897046>"
temperatureInd,"(55.215567252897046, 55.2699680540717>"
temperatureInd,"(55.2699680540717, 55.6071202284224>"
temperatureInd,"(55.6071202284224, 55.70352406684315>"
temperatureInd,"(55.70352406684315, 56.0138576112397>"
temperatureInd,"(56.0138576112397, 60.4269962938439>"
temperatureInd,"(60.4269962938439, 66.6751660078795>"
temperatureInd,"(66.6751660078795, 72.69729682248125>"
temperatureInd,"(72.69729682248125, 105.55565923166449>"
temperatureInd,"(105.55565923166449, 106.2203881362345>"
temperatureInd,"(106.2203881362345, 106.245577874176>"
temperatureInd,"(106.245577874176, 114.69369351145201>"
temperatureInd,"(114.69369351145201, 114.9216746340645>"
temperatureInd,"(114.9216746340645, 114.948526010821>"
temperatureInd,"(114.948526010821, 115.14579783388001>"
temperatureInd,"(115.14579783388001, 115.4193894436795>"
temperatureInd,"(115.4193894436795, 115.81321503487351>"
temperatureInd,"(115.81321503487351, 116.2937949525885>"
temperatureInd,"(116.2937949525885, 119.79476321870649>"
temperatureInd,"(119.79476321870649, 120.724314391403>"
temperatureInd,"(120.724314391403, 121.723034245923>"
temperatureInd,"(121.723034245923, 122.172805180718>"
temperatureInd,"(122.172805180718, 128.465696760767>"
temperatureInd,"(128.465696760767, 129.098822457872>"
temperatureInd,"(129.098822457872, 140.877794428958>"
temperatureInd,"(140.877794428958, 160.2769203891305>"
temperatureInd,"(160.2769203891305, 160.669508570647>"
temperatureInd,"(160.669508570647, inf)"
moistureInd,"(-inf, 75.5202732556082>"
moistureInd,"(75.5202732556082, 75.75296897986286>"
moistureInd,"(75.75296897986286, 77.65567027189245>"
moistureInd,"(77.65567027189245, 80.78482301322924>"
moistureInd,"(80.78482301322924, 80.80965623021521>"
moistureInd,"(80.80965623021521, 85.14489462466615>"
moistureInd,"(85.14489462466615, 88.19482612863536>"
moistureInd,"(88.19482612863536, 88.5303058261661>"
moistureInd,"(88.5303058261661, 88.6951245982255>"
moistureInd,"(88.6951245982255, 88.92721967023105>"
moistureInd,"(88.92721967023105, 88.9998933856955>"
moistureInd,"(88.9998933856955, 89.0169136350607>"
moistureInd,"(89.0169136350607, 89.3434805170764>"
moistureInd,"(89.3434805170764, 89.3828412909253>"
moistureInd,"(89.3828412909253, 89.48423303886864>"
moistureInd,"(89.48423303886864, 93.26791385149491>"
moistureInd,"(93.26791385149491, 93.7318248461297>"
moistureInd,"(93.7318248461297, 93.79677429280395>"
moistureInd,"(93.79677429280395, 94.21032854308291>"
moistureInd,"(94.21032854308291, 94.83530241811701>"
moistureInd,"(94.83530241811701, 104.886872968739>"
moistureInd,"(104.886872968739, 109.1665175185085>"
moistureInd,"(109.1665175185085, 109.746941159205>"
moistureInd,"(109.746941159205, 110.437114814551>"
moistureInd,"(110.437114814551, 113.679239809199>"
moistureInd,"(113.679239809199, 113.8118501867105>"
moistureInd,"(113.8118501867105, 114.1364615871625>"
moistureInd,"(114.1364615871625, 114.1914811783205>"
moistureInd,"(114.1914811783205, 114.249964526569>"
moistureInd,"(114.249964526569, 115.422459626766>"
moistureInd,"(115.422459626766, 119.694514230971>"
moistureInd,"(119.694514230971, 120.3176006911515>"
moistureInd,"(120.3176006911515, 126.8068354625275>"
moistureInd,"(126.8068354625275, 127.948822837764>"
moistureInd,"(127.948822837764, inf)"
