attribute,value
albumin,"(-inf, 3.0149999999999997>"
albumin,"(3.0149999999999997, 3.725>"
albumin,"(3.725, 3.8449999999999998>"
albumin,"(3.8449999999999998, 4.140000000000001>"
albumin,"(4.140000000000001, 4.390000000000001>"
albumin,"(4.390000000000001, inf)"
platelet,"(-inf, 496.5>"
platelet,"(496.5, inf)"
bili,"(-inf, 1.35>"
bili,"(1.35, 1.75>"
bili,"(1.75, 2.1500000000000004>"
bili,"(2.1500000000000004, 2.25>"
bili,"(2.25, 2.3499999999999996>"
bili,"(2.3499999999999996, 8.8>"
bili,"(8.8, inf)"
age,"(-inf, 29.9151265>"
age,"(29.9151265, 41.084188999999995>"
age,"(41.084188999999995, 43.2402465>"
age,"(43.2402465, 45.4223135>"
age,"(45.4223135, 66.1218345>"
age,"(66.1218345, 72.23271700000001>"
age,"(72.23271700000001, 74.67351149999999>"
age,"(74.67351149999999, inf)"
protime,"(-inf, 9.95>"
protime,"(9.95, 10.95>"
protime,"(10.95, inf)"
