attribute,value
sysbp,"(-inf, 84.5>"
sysbp,"(84.5, 187.5>"
sysbp,"(187.5, 216.5>"
sysbp,"(216.5, inf)"
age,"(-inf, 51.5>"
age,"(51.5, 69.5>"
age,"(69.5, 71.5>"
age,"(71.5, 73.5>"
age,"(73.5, 74.5>"
age,"(74.5, 80.5>"
age,"(80.5, 85.5>"
age,"(85.5, 103.0>"
age,"(103.0, inf)"
diasbp,"(-inf, 15.5>"
diasbp,"(15.5, 49.5>"
diasbp,"(49.5, 86.5>"
diasbp,"(86.5, 94.5>"
diasbp,"(94.5, 95.5>"
diasbp,"(95.5, 118.5>"
diasbp,"(118.5, 129.0>"
diasbp,"(129.0, 132.5>"
diasbp,"(132.5, 136.0>"
diasbp,"(136.0, inf)"
bmi,"(-inf, 18.822625000000002>"
bmi,"(18.822625000000002, 18.841839999999998>"
bmi,"(18.841839999999998, 19.341929999999998>"
bmi,"(19.341929999999998, 25.595425>"
bmi,"(25.595425, 26.75475>"
bmi,"(26.75475, 28.31215>"
bmi,"(28.31215, 29.067965>"
bmi,"(29.067965, 29.504955000000002>"
bmi,"(29.504955000000002, 38.286199999999994>"
bmi,"(38.286199999999994, 40.89478>"
bmi,"(40.89478, inf)"
hr,"(-inf, 35.5>"
hr,"(35.5, 67.5>"
hr,"(67.5, 68.5>"
hr,"(68.5, 76.5>"
hr,"(76.5, 86.5>"
hr,"(86.5, 118.0>"
hr,"(118.0, 123.0>"
hr,"(123.0, 125.5>"
hr,"(125.5, 143.0>"
hr,"(143.0, inf)"
