time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, 
1.0, 0.999034, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.983607, 1.000000, 0.988764, 1.000000, 0.992308, 1.000000, 0.988372, 1.000000, 0.994012, 1.000000, 0.996109, 1.000000, 0.996689, 1.000000, 0.991071, 1.000000, 0.994565, 1.000000, 0.996212, 1.000000, 0.997630, 1.000000, 0.997727, 1.000000, 1.000000, 0.968750, 0.997996, 1.000000, 1.000000, 0.966667, 1.000000, 0.993151, 
2.0, 0.998066, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.983607, 1.000000, 0.988764, 1.000000, 0.992308, 1.000000, 0.988372, 1.000000, 0.994012, 1.000000, 0.996109, 1.000000, 0.996689, 1.000000, 0.991071, 1.000000, 0.989130, 1.000000, 0.992424, 1.000000, 0.995261, 1.000000, 0.995455, 1.000000, 1.000000, 0.968750, 0.995992, 1.000000, 1.000000, 0.966667, 1.000000, 0.993151, 
3.0, 0.998066, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.983607, 1.000000, 0.988764, 1.000000, 0.992308, 1.000000, 0.988372, 1.000000, 0.994012, 1.000000, 0.996109, 1.000000, 0.996689, 1.000000, 0.991071, 1.000000, 0.989130, 1.000000, 0.992424, 1.000000, 0.995261, 1.000000, 0.995455, 1.000000, 1.000000, 0.968750, 0.995992, 1.000000, 1.000000, 0.966667, 1.000000, 0.993151, 
4.0, 0.998066, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.983607, 1.000000, 0.988764, 1.000000, 0.992308, 1.000000, 0.988372, 1.000000, 0.994012, 1.000000, 0.996109, 1.000000, 0.996689, 1.000000, 0.991071, 1.000000, 0.989130, 1.000000, 0.992424, 1.000000, 0.995261, 1.000000, 0.995455, 1.000000, 1.000000, 0.968750, 0.995992, 1.000000, 1.000000, 0.966667, 1.000000, 0.993151, 
7.0, 0.996126, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.983607, 1.000000, 0.988764, 1.000000, 0.992308, 1.000000, 0.988372, 1.000000, 0.994012, 1.000000, 0.996109, 1.000000, 0.996689, 1.000000, 0.982143, 1.000000, 0.989130, 1.000000, 0.992424, 1.000000, 0.992891, 1.000000, 0.993182, 1.000000, 1.000000, 0.968750, 0.991984, 1.000000, 1.000000, 0.966667, 1.000000, 0.986301, 
9.0, 0.995156, 1.000000, 1.000000, 0.984127, 1.000000, 0.989247, 1.000000, 0.967213, 1.000000, 0.977528, 1.000000, 0.984615, 1.000000, 0.988372, 1.000000, 0.988024, 1.000000, 0.992218, 1.000000, 0.993377, 1.000000, 0.973214, 1.000000, 0.983696, 1.000000, 0.988636, 1.000000, 0.990521, 1.000000, 0.990909, 1.000000, 1.000000, 0.968750, 0.989980, 1.000000, 1.000000, 0.966667, 1.000000, 0.986301, 
11.0, 0.995156, 1.000000, 1.000000, 0.984127, 1.000000, 0.989247, 1.000000, 0.967213, 1.000000, 0.977528, 1.000000, 0.984615, 1.000000, 0.988372, 1.000000, 0.988024, 1.000000, 0.992218, 1.000000, 0.993377, 1.000000, 0.973214, 1.000000, 0.983696, 1.000000, 0.988636, 1.000000, 0.990521, 1.000000, 0.990909, 1.000000, 1.000000, 0.968750, 0.989980, 1.000000, 1.000000, 0.966667, 1.000000, 0.986301, 
13.0, 0.993214, 1.000000, 0.997701, 0.984127, 0.997881, 0.989247, 0.997881, 0.950537, 0.997748, 0.977528, 0.997845, 0.976863, 0.997881, 0.988372, 0.997881, 0.988024, 0.997845, 0.988312, 0.997881, 0.990055, 0.997881, 0.964203, 0.997881, 0.978231, 0.997881, 0.988636, 0.997748, 0.988146, 0.997881, 0.988631, 0.997881, 0.997722, 0.968750, 0.987972, 0.997881, 0.997872, 0.966667, 0.998020, 0.986301, 
14.0, 0.990302, 0.968750, 0.997701, 0.967994, 0.997881, 0.967506, 0.997881, 0.933861, 0.997748, 0.966161, 0.997845, 0.969110, 0.997881, 0.976606, 0.997881, 0.975975, 0.997845, 0.980499, 0.997881, 0.980088, 0.997881, 0.955192, 0.997881, 0.972766, 0.997881, 0.984834, 0.997748, 0.981020, 0.997881, 0.984075, 0.997881, 0.997722, 0.968750, 0.981948, 0.997881, 0.997872, 0.966667, 0.998020, 0.965753, 
15.0, 0.989331, 0.968750, 0.997701, 0.967994, 0.997881, 0.967506, 0.997881, 0.933861, 0.997748, 0.954795, 0.997845, 0.961357, 0.997881, 0.964839, 0.997881, 0.969950, 0.997845, 0.976592, 0.997881, 0.976766, 0.997881, 0.955192, 0.997881, 0.967301, 0.997881, 0.981031, 0.997748, 0.978645, 0.997881, 0.981797, 0.997881, 0.997722, 0.968750, 0.979940, 0.997881, 0.997872, 0.966667, 0.998020, 0.965753, 
16.0, 0.988360, 0.968750, 0.997701, 0.967994, 0.997881, 0.967506, 0.997881, 0.933861, 0.997748, 0.943428, 0.997845, 0.953604, 0.997881, 0.953073, 0.997881, 0.963926, 0.997845, 0.972686, 0.997881, 0.973443, 0.997881, 0.955192, 0.997881, 0.961836, 0.997881, 0.977229, 0.997748, 0.976269, 0.997881, 0.979519, 0.997881, 0.997722, 0.937500, 0.977932, 0.997881, 0.997872, 0.933333, 0.998020, 0.958904, 
17.0, 0.987389, 0.968750, 0.997701, 0.951861, 0.997881, 0.956635, 0.997881, 0.933861, 0.997748, 0.943428, 0.997845, 0.953604, 0.997881, 0.953073, 0.997881, 0.963926, 0.997845, 0.972686, 0.997881, 0.970121, 0.997881, 0.955192, 0.997881, 0.961836, 0.997881, 0.977229, 0.997748, 0.973894, 0.997881, 0.977241, 0.997881, 0.997722, 0.937500, 0.975923, 0.997881, 0.997872, 0.933333, 0.998020, 0.952055, 
18.0, 0.984473, 0.968750, 0.997701, 0.935727, 0.997881, 0.945764, 0.997881, 0.917185, 0.997748, 0.943428, 0.997845, 0.945851, 0.997881, 0.953073, 0.997881, 0.963926, 0.997845, 0.968780, 0.997881, 0.966799, 0.997881, 0.946181, 0.997881, 0.956371, 0.997881, 0.969624, 0.997748, 0.969143, 0.997881, 0.970408, 0.997881, 0.997722, 0.937500, 0.969899, 0.997881, 0.997872, 0.933333, 0.998020, 0.945205, 
19.0, 0.984473, 0.968750, 0.997701, 0.935727, 0.997881, 0.945764, 0.997881, 0.917185, 0.997748, 0.943428, 0.997845, 0.945851, 0.997881, 0.953073, 0.997881, 0.963926, 0.997845, 0.968780, 0.997881, 0.966799, 0.997881, 0.946181, 0.997881, 0.956371, 0.997881, 0.969624, 0.997748, 0.969143, 0.997881, 0.970408, 0.997881, 0.997722, 0.937500, 0.969899, 0.997881, 0.997872, 0.933333, 0.998020, 0.945205, 
20.0, 0.982528, 0.906250, 0.997701, 0.903461, 0.997881, 0.924022, 0.997881, 0.900509, 0.997748, 0.943428, 0.997845, 0.945851, 0.997881, 0.941307, 0.997881, 0.957901, 0.997845, 0.960967, 0.997881, 0.960154, 0.997881, 0.937169, 0.997881, 0.956371, 0.997881, 0.965822, 0.997748, 0.964392, 0.997881, 0.965852, 0.997881, 0.997722, 0.937500, 0.965883, 0.997881, 0.997872, 0.933333, 0.998020, 0.938356, 
24.0, 0.981555, 0.906250, 0.997701, 0.903461, 0.997881, 0.924022, 0.997881, 0.900509, 0.997748, 0.943428, 0.997845, 0.938098, 0.997881, 0.941307, 0.997881, 0.957901, 0.997845, 0.957061, 0.997881, 0.956832, 0.997881, 0.937169, 0.997881, 0.950906, 0.997881, 0.962019, 0.997748, 0.962017, 0.997881, 0.963574, 0.997881, 0.997722, 0.937500, 0.963875, 0.997881, 0.997872, 0.933333, 0.998020, 0.938356, 
25.0, 0.979609, 0.875000, 0.997701, 0.887328, 0.997881, 0.913151, 0.997881, 0.900509, 0.997748, 0.943428, 0.997845, 0.938098, 0.997881, 0.929540, 0.997881, 0.951877, 0.997845, 0.953154, 0.997881, 0.953509, 0.997881, 0.937169, 0.997881, 0.950906, 0.997881, 0.958217, 0.997748, 0.959642, 0.997881, 0.961296, 0.997881, 0.997722, 0.937500, 0.959859, 0.997881, 0.997872, 0.933333, 0.998020, 0.938356, 
26.0, 0.978635, 0.875000, 0.997701, 0.887328, 0.997881, 0.913151, 0.997881, 0.883833, 0.997748, 0.931923, 0.997845, 0.930281, 0.997881, 0.917774, 0.997881, 0.945814, 0.997845, 0.949232, 0.997881, 0.950176, 0.997881, 0.928158, 0.997881, 0.945409, 0.997881, 0.954399, 0.997748, 0.957261, 0.997881, 0.959012, 0.997881, 0.997722, 0.906250, 0.957847, 0.997881, 0.997872, 0.900000, 0.998020, 0.931507, 
27.0, 0.978635, 0.875000, 0.997701, 0.887328, 0.997881, 0.913151, 0.997881, 0.883833, 0.997748, 0.931923, 0.997845, 0.930281, 0.997881, 0.917774, 0.997881, 0.945814, 0.997845, 0.949232, 0.997881, 0.950176, 0.997881, 0.928158, 0.997881, 0.945409, 0.997881, 0.954399, 0.997748, 0.957261, 0.997881, 0.959012, 0.997881, 0.997722, 0.906250, 0.957847, 0.997881, 0.997872, 0.900000, 0.998020, 0.931507, 
35.0, 0.977659, 0.875000, 0.997701, 0.887328, 0.997881, 0.913151, 0.997881, 0.883833, 0.997748, 0.931923, 0.997845, 0.930281, 0.997881, 0.917774, 0.997881, 0.945814, 0.997845, 0.949232, 0.997881, 0.950176, 0.997881, 0.928158, 0.997881, 0.945409, 0.997881, 0.954399, 0.997748, 0.954873, 0.997881, 0.956724, 0.997881, 0.997722, 0.906250, 0.955830, 0.997881, 0.997872, 0.900000, 0.998020, 0.931507, 
