rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 3, 3.0918, 42.4155, 0.0000, 0.0000, 206.0000, 364.0000, -158.0000
r2, 5, 5, 3, 6.0870, 45.9903, 0.0000, 0.0000, 336.0000, 364.0000, -28.0000
r3, 4, 4, 2, 8.9855, 45.9903, 0.0000, 0.0000, 346.0000, 364.0000, -18.0000
r4, 6, 5, 3, 5.8937, 43.2850, 0.0000, 0.0000, 342.0000, 364.0000, -22.0000
r5, 6, 6, 3, 8.5990, 45.2174, 0.0000, 0.0000, 347.0000, 364.0000, -17.0000
r6, 5, 5, 3, 12.5604, 45.9903, 0.0000, 0.0000, 347.0000, 364.0000, -17.0000
r7, 5, 5, 3, 8.3092, 45.9903, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r8, 6, 6, 3, 16.1353, 45.2174, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r9, 4, 4, 2, 24.8309, 45.9903, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r10, 5, 5, 3, 29.1787, 45.9903, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r11, 4, 4, 2, 10.8213, 45.9903, 0.0000, 0.0000, 353.0000, 364.0000, -11.0000
r12, 4, 4, 2, 17.7778, 45.9903, 0.0000, 0.0000, 353.0000, 364.0000, -11.0000
r13, 5, 4, 2, 25.5072, 43.2850, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r14, 3, 3, 1, 40.7729, 45.9903, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r15, 4, 4, 2, 42.5121, 45.9903, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r16, 5, 5, 1, 42.7053, 3.0918, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r17, 4, 4, 2, 48.2126, 45.9903, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r18, 3, 3, 0, 45.7971, 2.8986, 0.0000, 0.0000, 364.0000, 335.0000, 29.0000
r19, 1, 1, 0, 49.1787, 14.1063, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
