((age, (age, (-inf, 51.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (19.341929999999998, 25.595425>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (85.5, 103.0>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (51.5, 69.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (19.341929999999998, 25.595425>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (80.5, 85.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (85.5, 103.0>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (80.5, 85.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (74.5, 80.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (29.504955000000002, 38.286199999999994>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (51.5, 69.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (29.504955000000002, 38.286199999999994>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (71.5, 73.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (-inf, 51.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (29.504955000000002, 38.286199999999994>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (80.5, 85.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (19.341929999999998, 25.595425>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (73.5, 74.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (80.5, 85.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (86.5, 94.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (71.5, 73.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (51.5, 69.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (86.5, 94.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (51.5, 69.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (25.595425, 26.75475>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (-inf, 51.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (19.341929999999998, 25.595425>) -> (bmi, (19.341929999999998, 25.595425>)))
((age, (age, (85.5, 103.0>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (85.5, 103.0>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (80.5, 85.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (51.5, 69.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)) AND (bmi, (bmi, (40.89478, inf)) -> (bmi, (19.341929999999998, 25.595425>)))
((sysbp, (sysbp, (84.5, 187.5>) -> (sysbp, (84.5, 187.5>)) AND (age, (age, (51.5, 69.5>) -> (age, (85.5, 103.0>)) AND (diasbp, (diasbp, (86.5, 94.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (80.5, 85.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (85.5, 103.0>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (49.5, 86.5>) -> (diasbp, (49.5, 86.5>)))
((age, (age, (51.5, 69.5>) -> (age, (-inf, 51.5>)) AND (diasbp, (diasbp, (95.5, 118.5>) -> (diasbp, (49.5, 86.5>)))
