id,left,right
0,18,22
1,42,42
2,41,42
3,0,41
4,68,42
5,35,41
6,38,42
7,0,41
8,6,41
9,37,24
10,12,41
11,54,42
12,38,42
13,35,24
14,48,41
15,7,42
16,42,42
17,74,41
18,68,42
19,18,41
20,56,41
21,56,41
22,56,41
23,38,42
24,54,42
25,19,38
26,6,41
27,41,42
28,74,41
29,56,41
30,37,24
31,41,42
32,15,41
33,74,41
34,0,41
35,18,41
36,54,42
37,3,41
38,37,24
39,41,42
40,9,41
41,15,24
42,5,22
43,35,24
44,71,22
45,6,41
46,41,42
47,42,42
48,2,41
49,56,41
50,30,42
51,38,22
52,30,42
53,29,42
54,74,41
55,54,42
56,68,42
57,22,42
58,2,41
59,0,41
60,0,23
61,38,22
62,20,42
63,15,24
64,74,41
65,71,22
66,68,42
67,35,24
