((tsize, (tsize, (-inf, 19.5>) -> (tsize, (32.5, 47.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (132.5, 252.0>) -> (progrec, (132.5, 252.0>)) AND (estrec, (estrec, (4.5, 5.5>) -> (estrec, (80.0, 639.5>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (24.5, 41.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (-inf, 4.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (31.5, 32.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((progrec, (progrec, (252.0, 827.0>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (62.5, 72.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (-inf, 4.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (-inf, 4.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (62.5, 72.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (-inf, 4.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((tsize, (tsize, (32.5, 47.0>) -> (tsize, (20.5, 32.5>)) AND (pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (9.5, 15.0>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (132.5, 252.0>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (62.5, 72.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (9.5, 15.0>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (41.5, 42.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (62.5, 72.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (37.5, 40.0>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (132.5, 252.0>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (47.0, inf)) -> (tsize, (-inf, 19.5>)))
((tsize, (tsize, (19.5, 20.5>) -> (tsize, (32.5, 47.0>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (-inf, 19.5>)))
((tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (59.5, 62.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (34.5, 37.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)))
((tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (3.5, 5.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (9.5, 43.0>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (-inf, 0.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (34.5, 37.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (20.5, 21.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((progrec, (progrec, (827.0, inf)) -> (progrec, (-inf, 0.5>)) AND (tsize, (tsize, (20.5, 32.5>) -> (tsize, (20.5, 32.5>)) AND (estrec, (estrec, (926.0, inf)) -> (estrec, (-inf, 4.5>)))
((tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (80.0, 639.5>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (9.5, 43.0>)))
((progrec, (progrec, (0.5, 9.5>) -> (progrec, (132.5, 252.0>)) AND (tsize, (tsize, (47.0, inf)) -> (tsize, (-inf, 19.5>)))
((progrec, (progrec, (43.5, 132.5>) -> (progrec, (132.5, 252.0>)) AND (age, (age, (42.5, 59.5>) -> (age, (42.5, 59.5>)))
((tsize, (tsize, (20.5, 32.5>) -> (tsize, (32.5, 47.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
((estrec, (estrec, (5.5, 69.0>) -> (estrec, (5.5, 69.0>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (9.5, 43.0>)))
