((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (0.0472225, 0.1277775>)) AND (BECK, (BECK, (8.2, 36.5>) -> (BECK, (8.2, 36.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (0.0472225, 0.1277775>)) AND (BECK, (BECK, (8.2, 36.5>) -> (BECK, (8.2, 36.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.397222>) -> (FRAC, (0.802778, inf))) AND (IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (0.0472225, 0.1277775>)) AND (BECK, (BECK, (6.816, 8.2>) -> (BECK, (8.2, 36.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.0472225, 0.1277775>) -> (FRAC, (0.802778, inf))) AND (IV3, (IV3, (-inf, 0.5>) -> (IV3, (-inf, 0.5>)) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)))
((BECK, (BECK, (8.2, 36.5>) -> (BECK, (8.2, 36.5>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (0.0472225, 0.1277775>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.397222>) -> (FRAC, (0.802778, inf))) AND (IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)))
((BECK, (BECK, (8.2, 36.5>) -> (BECK, (8.2, 36.5>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (0.0472225, 0.1277775>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.397222>) -> (FRAC, (0.802778, inf))) AND (IV3, (IV3, (0.5, inf)) -> (IV3, (-inf, 0.5>)) AND (HC, (HC, (-inf, 3.5>) -> (HC, (-inf, 3.5>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (0.0472225, 0.1277775>)) AND (BECK, (BECK, (8.2, 36.5>) -> (BECK, (8.2, 36.5>)))
((BECK, (BECK, (36.5, 36.9>) -> (BECK, (8.2, 36.5>)) AND (FRAC, (FRAC, (0.7694445, 0.802778>) -> (FRAC, (0.0472225, 0.1277775>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (8.2, 36.5>) -> (BECK, (8.2, 36.5>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (0.0472225, 0.1277775>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
