id,left,right
0,426,20
1,0,22
2,687,21
3,124,20
4,42,22
5,58,20
6,71,22
7,12,20
8,687,21
9,426,20
10,12,20
11,40,22
12,1,20
13,426,20
14,687,21
15,124,20
16,71,22
17,57,22
18,58,22
19,687,21
20,687,21
21,119,20
22,58,22
23,119,20
24,71,22
25,687,21
26,6,22
27,687,21
28,104,20
29,119,20
30,467,21
31,40,22
32,57,22
33,71,20
34,608,21
35,1,22
36,687,21
37,608,21
38,687,21
39,57,22
40,608,21
41,119,20
42,119,20
43,119,20
44,3,22
45,687,21
46,687,21
47,0,22
48,71,21
49,687,21
50,39,20
51,71,22
52,35,20
53,71,20
54,98,27
55,35,20
56,687,21
57,687,21
58,509,26
59,57,22
60,426,20
61,57,22
62,57,22
63,426,20
64,124,20
65,426,20
66,3,23
67,687,21
68,13,22
69,6,22
70,72,20
71,687,21
72,1,22
73,104,20
74,687,21
75,3,22
76,71,22
77,13,22
78,71,22
79,102,28
80,687,21
81,124,20
82,687,21
83,71,22
84,57,22
85,71,21
86,608,21
87,119,20
