id,p
0,0.006840
1,0.000000
2,1.000000
3,0.000000
4,0.000000
5,0.000026
6,0.000000
7,0.000000
8,1.000000
9,0.006840
10,0.000000
11,0.000000
12,0.000000
13,0.006840
14,1.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,1.000000
20,1.000000
21,0.000000
22,0.000000
23,0.000108
24,0.000000
25,1.000000
26,0.000000
27,1.000000
28,0.000000
29,0.000108
30,0.000000
31,0.000000
32,0.000000
33,0.000531
34,0.000000
35,0.000000
36,1.000000
37,0.000000
38,1.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000002
44,0.000000
45,1.000000
46,1.000000
47,0.000000
48,0.000000
49,1.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,1.000000
57,1.000000
58,0.160675
59,0.000000
60,0.006840
61,0.000000
62,0.000000
63,0.006840
64,0.000046
65,0.006840
66,0.000000
67,1.000000
68,0.000000
69,0.000000
70,0.001421
71,1.000000
72,0.000000
73,0.064617
74,1.000000
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.000000
80,1.000000
81,0.012644
82,1.000000
83,0.000000
84,0.000000
85,0.000000
86,0.000000
87,0.000000
