((protime, (protime, (9.65, 10.25>) -> (protime, (-inf, 9.65>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((protime, (protime, (10.95, 11.8>) -> (protime, (-inf, 9.65>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.75, 1.95>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((protime, (protime, (10.95, 11.8>) -> (protime, (-inf, 9.65>)))
((protime, (protime, (9.65, 10.25>) -> (protime, (-inf, 9.65>)))
((protime, (protime, (10.95, 11.8>) -> (protime, (-inf, 9.65>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.75, 1.95>) -> (bili, (8.95, inf))) AND (age, (age, (43.2402465, 44.587269>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.95, 2.25>) -> (bili, (8.95, inf))) AND (age, (age, (69.674196, 73.2197125>) -> (age, (44.587269, 64.4175225>)))
((protime, (protime, (10.95, 11.8>) -> (protime, (-inf, 9.65>)))
((bili, (bili, (1.95, 2.25>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((protime, (protime, (10.25, 10.95>) -> (protime, (-inf, 9.65>)))
((protime, (protime, (10.95, 11.8>) -> (protime, (-inf, 9.65>)))
((protime, (protime, (9.65, 10.25>) -> (protime, (-inf, 9.65>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((protime, (protime, (9.65, 10.25>) -> (protime, (-inf, 9.65>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (43.2402465, 44.587269>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((protime, (protime, (10.95, 11.8>) -> (protime, (-inf, 9.65>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.75, 1.95>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 41.379876499999995>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (-inf, 1.25>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
((bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (44.587269, 64.4175225>) -> (age, (44.587269, 64.4175225>)))
