attribute,value
iinfct,"(-inf, 1.5>"
iinfct,"(1.5, 2.5>"
iinfct,"(2.5, inf)"
vagina,"(-inf, 0.5>"
vagina,"(0.5, inf)"
npartner,"(-inf, 0.5>"
npartner,"(0.5, 1.5>"
npartner,"(1.5, 2.5>"
npartner,"(2.5, 3.5>"
npartner,"(3.5, 4.0>"
npartner,"(4.0, 4.5>"
npartner,"(4.5, 12.5>"
npartner,"(12.5, inf)"
os12m,"(-inf, 0.5>"
os12m,"(0.5, inf)"
abnode,"(-inf, 0.5>"
abnode,"(0.5, inf)"
age,"(-inf, 14.5>"
age,"(14.5, 16.5>"
age,"(16.5, 17.0>"
age,"(17.0, 17.5>"
age,"(17.5, 18.5>"
age,"(18.5, 19.5>"
age,"(19.5, 24.5>"
age,"(24.5, 30.0>"
age,"(30.0, 37.0>"
age,"(37.0, 40.0>"
age,"(40.0, 40.5>"
age,"(40.5, 41.5>"
age,"(41.5, 43.5>"
age,"(43.5, 44.5>"
age,"(44.5, inf)"
condom,"(-inf, 1.5>"
condom,"(1.5, 2.5>"
condom,"(2.5, inf)"
marital,{S}
yschool,"(-inf, 9.0>"
yschool,"(9.0, 9.5>"
yschool,"(9.5, 11.5>"
yschool,"(11.5, 12.0>"
yschool,"(12.0, 12.5>"
yschool,"(12.5, 16.5>"
yschool,"(16.5, inf)"
rash,"(-inf, 0.5>"
rash,"(0.5, inf)"
os30d,"(-inf, 0.5>"
os30d,"(0.5, inf)"
abdpain,"(-inf, 0.5>"
abdpain,"(0.5, inf)"
dysuria,"(-inf, 0.5>"
dysuria,"(0.5, inf)"
rs30d,"(-inf, 0.5>"
rs30d,"(0.5, inf)"
rs12m,"(-inf, 0.5>"
rs12m,"(0.5, inf)"
