time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
4.0, 0.996139, 0.972973, 1.000000, 0.985294, 1.000000, 0.989247, 1.000000, 0.990826, 1.000000, 0.992000, 1.000000, 0.986301, 1.000000, 0.990868, 1.000000, 1.000000, 0.939394, 
6.0, 0.992278, 0.972973, 1.000000, 0.970588, 1.000000, 0.978495, 1.000000, 0.990826, 1.000000, 0.992000, 1.000000, 0.972603, 1.000000, 0.986301, 1.000000, 1.000000, 0.909091, 
7.0, 0.984556, 0.891892, 1.000000, 0.926471, 1.000000, 0.946237, 1.000000, 0.963303, 1.000000, 0.968000, 1.000000, 0.945205, 1.000000, 0.968037, 1.000000, 1.000000, 0.818182, 
8.0, 0.982625, 0.891892, 1.000000, 0.926471, 1.000000, 0.946237, 1.000000, 0.963303, 1.000000, 0.968000, 1.000000, 0.938356, 1.000000, 0.963470, 1.000000, 1.000000, 0.787879, 
9.0, 0.980695, 0.891892, 1.000000, 0.926471, 1.000000, 0.946237, 1.000000, 0.963303, 1.000000, 0.960000, 1.000000, 0.931507, 1.000000, 0.958904, 1.000000, 1.000000, 0.757576, 
10.0, 0.978764, 0.891892, 1.000000, 0.911765, 1.000000, 0.935484, 1.000000, 0.954128, 1.000000, 0.960000, 1.000000, 0.924658, 1.000000, 0.954338, 1.000000, 1.000000, 0.727273, 
11.0, 0.974903, 0.864865, 1.000000, 0.897059, 1.000000, 0.924731, 1.000000, 0.944954, 1.000000, 0.952000, 1.000000, 0.910959, 1.000000, 0.945205, 1.000000, 1.000000, 0.666667, 
12.0, 0.972973, 0.864865, 1.000000, 0.897059, 1.000000, 0.924731, 1.000000, 0.935780, 1.000000, 0.944000, 1.000000, 0.904110, 1.000000, 0.940639, 1.000000, 1.000000, 0.636364, 
14.0, 0.965251, 0.810811, 1.000000, 0.867647, 1.000000, 0.892473, 1.000000, 0.926606, 1.000000, 0.920000, 1.000000, 0.876712, 1.000000, 0.922374, 1.000000, 1.000000, 0.575758, 
15.0, 0.961390, 0.810811, 1.000000, 0.867647, 1.000000, 0.892473, 1.000000, 0.917431, 1.000000, 0.920000, 1.000000, 0.863014, 1.000000, 0.913242, 1.000000, 1.000000, 0.545455, 
18.0, 0.959459, 0.783784, 1.000000, 0.852941, 1.000000, 0.881720, 1.000000, 0.908257, 1.000000, 0.912000, 1.000000, 0.856164, 1.000000, 0.908676, 1.000000, 1.000000, 0.545455, 
19.0, 0.955598, 0.783784, 1.000000, 0.838235, 1.000000, 0.870968, 1.000000, 0.899083, 1.000000, 0.896000, 1.000000, 0.842466, 1.000000, 0.899543, 1.000000, 1.000000, 0.515152, 
21.0, 0.951737, 0.729730, 1.000000, 0.808824, 1.000000, 0.849462, 1.000000, 0.880734, 1.000000, 0.880000, 1.000000, 0.828767, 1.000000, 0.890411, 1.000000, 1.000000, 0.484848, 
