id,left,right
0,107,22
1,5,22
2,25,22
3,14,22
4,13,24
5,1,22
6,171,26
7,14,22
8,7,22
9,171,26
10,149,22
11,0,24
12,55,24
13,0,22
14,55,24
15,107,22
16,149,22
17,13,22
18,15,24
19,122,22
20,20,41
21,75,24
22,17,24
23,32,22
24,6,41
25,81,256
26,28,63
27,4,24
28,0,22
29,34,149
30,42,51
31,4,24
32,17,63
33,149,22
34,9,24
35,9,63
36,75,24
37,107,22
38,122,22
39,107,22
40,19,149
41,25,22
42,149,22
43,42,51
44,55,24
45,42,51
46,6,24
47,3,24
48,149,22
49,2,24
50,149,22
51,171,26
52,9,24
53,149,22
54,107,22
55,42,256
56,42,256
