id,left,right
0,22,54
1,118,54
2,141,23
3,58,35
4,118,54
5,18,54
6,123,54
7,45,54
8,123,54
9,1,54
10,60,23
11,34,54
12,58,35
13,18,54
14,58,35
15,18,54
16,123,54
17,7,21
18,141,23
19,22,54
20,29,38
21,45,54
22,42,21
23,118,54
24,11,54
25,179,35
26,123,54
27,118,54
28,22,26
29,118,54
30,141,23
31,18,54
32,118,54
33,32,38
34,141,23
35,45,54
36,2,54
37,118,54
38,18,54
39,123,54
40,18,54
41,32,38
42,118,54
43,60,23
44,45,23
45,167,26
46,28,54
47,18,54
48,118,54
49,45,23
50,141,23
51,28,54
52,141,23
53,123,54
54,42,21
55,32,54
56,118,54
57,34,54
58,22,54
59,29,54
60,167,26
61,45,23
62,141,23
63,45,23
64,141,23
65,45,23
66,118,54
67,123,54
68,34,21
69,2,54
70,123,54
71,123,54
72,11,54
73,34,54
74,123,54
75,141,23
76,141,23
77,8,54
78,22,54
79,52,35
80,141,23
81,45,23
82,8,54
83,34,54
84,58,35
85,60,23
86,118,54
87,123,54
88,141,23
89,123,54
90,118,54
91,58,35
92,45,23
93,141,23
94,141,23
95,141,23
96,141,23
97,34,54
98,15,54
99,45,23
100,141,23
101,141,23
102,141,23
