rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 3, 3, 0, 8.8889, 6.0000, 0.0000, 0.0000, 78.0000, 48.0000, 30.0000
r2, 3, 3, 0, 19.3333, 3.6667, 0.0000, 0.0000, 68.0000, 37.0000, 31.0000
r3, 3, 3, 0, 15.0000, 6.2222, 0.0000, 0.0000, 66.0000, 50.0000, 16.0000
r4, 3, 3, 0, 21.6667, 11.5556, 0.0000, 0.0000, 65.0000, 53.0000, 12.0000
r5, 3, 3, 0, 25.1111, 11.5556, 0.0000, 0.0000, 65.0000, 53.0000, 12.0000
r6, 3, 3, 0, 28.3333, 8.0000, 0.0000, 0.0000, 65.0000, 53.0000, 12.0000
r7, 2, 2, 0, 28.3333, 13.2222, 0.0000, 0.0000, 65.0000, 55.0000, 10.0000
r8, 2, 2, 0, 39.6667, 12.6667, 0.0000, 0.0000, 65.0000, 55.0000, 10.0000
r9, 3, 3, 0, 24.7778, 4.4444, 0.0000, 0.0000, 65.0000, 42.0000, 23.0000
r10, 2, 2, 0, 46.8889, 36.7778, 0.0000, 0.0078, 65.0000, 59.0000, 6.0000
r11, 3, 3, 0, 3.4444, 10.8889, 0.0000, 0.0000, 42.0000, 76.0000, -34.0000
r12, 3, 3, 0, 6.0000, 8.4444, 0.0000, 0.0000, 49.0000, 77.0000, -28.0000
r13, 3, 3, 0, 4.8889, 5.3333, 0.0000, 0.0000, 49.0000, 80.0000, -31.0000
r14, 3, 3, 0, 13.8889, 6.0000, 0.0000, 0.0000, 56.0000, 80.0000, -24.0000
r15, 3, 3, 0, 18.6667, 10.2222, 0.0000, 0.0000, 57.0000, 77.0000, -20.0000
r16, 3, 3, 0, 11.6667, 7.2222, 0.0000, 0.0000, 53.0000, 80.0000, -27.0000
r17, 3, 3, 0, 25.1111, 5.6667, 0.0000, 0.0000, 56.0000, 80.0000, -24.0000
r18, 3, 3, 0, 31.1111, 20.1111, 0.0000, 0.0000, 56.0000, 66.0000, -10.0000
r19, 3, 3, 0, 34.5556, 18.7778, 0.0000, 0.0000, 57.0000, 67.0000, -10.0000
r20, 2, 2, 0, 13.4444, 24.3333, 0.0000, 0.0000, 56.0000, 65.0000, -9.0000
r21, 2, 2, 0, 39.2222, 23.4444, 0.0000, 0.0001, 58.0000, 65.0000, -7.0000
r22, 2, 2, 0, 37.7778, 24.5556, 0.0000, 0.0015, 58.0000, 65.0000, -7.0000
r23, 1, 1, 0, 47.7778, 12.7778, 0.0000, 0.0006, 60.0000, 71.0000, -11.0000
