time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, r20_l, r20_r, r21_l, r21_r, r22_l, r22_r, r23_l, r23_r, 
1.0, 0.994444, 1.000000, 0.962963, 0.994253, 1.000000, 1.000000, 1.000000, 0.994872, 1.000000, 0.995575, 1.000000, 0.996078, 1.000000, 0.996078, 1.000000, 0.997199, 1.000000, 0.995516, 0.975000, 0.995261, 0.990937, 1.000000, 1.000000, 1.000000, 1.000000, 0.977273, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.996429, 0.994475, 0.993569, 1.000000, 1.000000, 0.995434, 0.991501, 0.995261, 0.994118, 0.995475, 0.993023, 1.000000, 
2.0, 0.982222, 1.000000, 0.944444, 0.994253, 0.969697, 1.000000, 0.946429, 0.994872, 0.971154, 0.991150, 0.971154, 0.996078, 0.958333, 0.992157, 0.974790, 0.991597, 0.973684, 0.986547, 0.975000, 0.983412, 0.981873, 0.903226, 1.000000, 0.944444, 1.000000, 0.954545, 1.000000, 0.976000, 1.000000, 0.982143, 1.000000, 0.980952, 1.000000, 0.986726, 1.000000, 0.985714, 0.994475, 0.983923, 0.988166, 0.975207, 0.995434, 0.983003, 0.990521, 0.982353, 0.977376, 0.981395, 0.991304, 
3.0, 0.978889, 1.000000, 0.944444, 0.994253, 0.969697, 1.000000, 0.946429, 0.994872, 0.971154, 0.991150, 0.971154, 0.996078, 0.958333, 0.992157, 0.974790, 0.991597, 0.973684, 0.986547, 0.975000, 0.981043, 0.975831, 0.903226, 1.000000, 0.944444, 1.000000, 0.954545, 1.000000, 0.976000, 1.000000, 0.982143, 1.000000, 0.980952, 1.000000, 0.982301, 1.000000, 0.978571, 0.994475, 0.977492, 0.988166, 0.975207, 0.995434, 0.977337, 0.990521, 0.976471, 0.972851, 0.976744, 0.991304, 
4.0, 0.970000, 1.000000, 0.925926, 0.994253, 0.939394, 1.000000, 0.928571, 0.989744, 0.961538, 0.986726, 0.961538, 0.992157, 0.944444, 0.988235, 0.966387, 0.985994, 0.964912, 0.977578, 0.925000, 0.973934, 0.963746, 0.903226, 1.000000, 0.925926, 1.000000, 0.931818, 1.000000, 0.960000, 1.000000, 0.970238, 1.000000, 0.952381, 1.000000, 0.964602, 1.000000, 0.964286, 0.994475, 0.964630, 0.988166, 0.966942, 0.990868, 0.966006, 0.985782, 0.964706, 0.968326, 0.967442, 0.982609, 
5.0, 0.958889, 0.975000, 0.925926, 0.977011, 0.939394, 0.985185, 0.928571, 0.969231, 0.961538, 0.969027, 0.961538, 0.976471, 0.944444, 0.972549, 0.966387, 0.971989, 0.964912, 0.955157, 0.925000, 0.954976, 0.960725, 0.903226, 0.969388, 0.925926, 0.973684, 0.931818, 1.000000, 0.960000, 1.000000, 0.970238, 0.967391, 0.933333, 0.969231, 0.955752, 1.000000, 0.957143, 0.972376, 0.958199, 0.964497, 0.966942, 0.972603, 0.960340, 0.966825, 0.958824, 0.945701, 0.962791, 0.982609, 
6.0, 0.957778, 0.975000, 0.925926, 0.977011, 0.939394, 0.985185, 0.928571, 0.969231, 0.961538, 0.969027, 0.961538, 0.976471, 0.944444, 0.972549, 0.966387, 0.971989, 0.964912, 0.955157, 0.925000, 0.954976, 0.957704, 0.903226, 0.969388, 0.925926, 0.973684, 0.931818, 1.000000, 0.960000, 1.000000, 0.970238, 0.967391, 0.933333, 0.969231, 0.955752, 1.000000, 0.957143, 0.972376, 0.958199, 0.964497, 0.966942, 0.972603, 0.957507, 0.966825, 0.958824, 0.945701, 0.960465, 0.982609, 
7.0, 0.952222, 0.975000, 0.907407, 0.977011, 0.909091, 0.985185, 0.928571, 0.969231, 0.961538, 0.969027, 0.961538, 0.976471, 0.930556, 0.972549, 0.957983, 0.971989, 0.956140, 0.955157, 0.900000, 0.954976, 0.942598, 0.903226, 0.969388, 0.925926, 0.973684, 0.909091, 1.000000, 0.936000, 1.000000, 0.952381, 0.967391, 0.904762, 0.969231, 0.942478, 1.000000, 0.942857, 0.972376, 0.945338, 0.964497, 0.958678, 0.972603, 0.943343, 0.966825, 0.947059, 0.945701, 0.948837, 0.982609, 
8.0, 0.944444, 0.975000, 0.888889, 0.977011, 0.909091, 0.977778, 0.928571, 0.964103, 0.951923, 0.964602, 0.951923, 0.976471, 0.930556, 0.972549, 0.949580, 0.966387, 0.947368, 0.950673, 0.875000, 0.950237, 0.930514, 0.903226, 0.969388, 0.925926, 0.973684, 0.886364, 1.000000, 0.928000, 1.000000, 0.946429, 0.967391, 0.895238, 0.969231, 0.933628, 1.000000, 0.932143, 0.972376, 0.935691, 0.964497, 0.950413, 0.972603, 0.929178, 0.966825, 0.935294, 0.941176, 0.937209, 0.982609, 
9.0, 0.935556, 0.962500, 0.870370, 0.965517, 0.878788, 0.962963, 0.910714, 0.953846, 0.942308, 0.955752, 0.942308, 0.968627, 0.916667, 0.964706, 0.941176, 0.955182, 0.938596, 0.937220, 0.825000, 0.938389, 0.924471, 0.903226, 0.948980, 0.907407, 0.960526, 0.863636, 1.000000, 0.912000, 1.000000, 0.934524, 0.956522, 0.876190, 0.969231, 0.924779, 1.000000, 0.925000, 0.961326, 0.929260, 0.952663, 0.942149, 0.963470, 0.923513, 0.957346, 0.932353, 0.927602, 0.932558, 0.973913, 
10.0, 0.931111, 0.962500, 0.870370, 0.965517, 0.878788, 0.962963, 0.892857, 0.953846, 0.932692, 0.955752, 0.932692, 0.968627, 0.902778, 0.964706, 0.932773, 0.952381, 0.929825, 0.932735, 0.800000, 0.933649, 0.921450, 0.903226, 0.948980, 0.888889, 0.960526, 0.863636, 1.000000, 0.904000, 1.000000, 0.928571, 0.956522, 0.866667, 0.969231, 0.915929, 1.000000, 0.917857, 0.961326, 0.922830, 0.952663, 0.933884, 0.963470, 0.917847, 0.957346, 0.926471, 0.923077, 0.927907, 0.973913, 
