time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, 
0.003, 0.973008, 0.947368, 0.983707, 0.900000, 0.991071, 0.948276, 0.983707, 0.956098, 0.983673, 0.966667, 0.991071, 0.952153, 0.983806, 0.943662, 0.992647, 0.966667, 1.000000, 1.000000, 1.000000, 0.981771, 0.947368, 
0.1, 0.971722, 0.947368, 0.983707, 0.900000, 0.991071, 0.948276, 0.983707, 0.951220, 0.983673, 0.966667, 0.991071, 0.947368, 0.983806, 0.943662, 0.992647, 0.966667, 1.000000, 1.000000, 1.000000, 0.981771, 0.947368, 
0.2, 0.967866, 0.938596, 0.981670, 0.900000, 0.982143, 0.942529, 0.981670, 0.946341, 0.981633, 0.966667, 0.982143, 0.937799, 0.981781, 0.929577, 0.985294, 0.966667, 1.000000, 1.000000, 1.000000, 0.979167, 0.938596, 
0.3, 0.964010, 0.938596, 0.977597, 0.866667, 0.982143, 0.936782, 0.977597, 0.941463, 0.977551, 0.966667, 0.982143, 0.933014, 0.977733, 0.929577, 0.985294, 0.966667, 1.000000, 1.000000, 1.000000, 0.973958, 0.938596, 
0.4, 0.955013, 0.885965, 0.975560, 0.866667, 0.982143, 0.902299, 0.975560, 0.912195, 0.975510, 0.966667, 0.982143, 0.909091, 0.975709, 0.929577, 0.985294, 0.966667, 1.000000, 1.000000, 1.000000, 0.971354, 0.885965, 
0.5, 0.943445, 0.868421, 0.969450, 0.833333, 0.973214, 0.879310, 0.969450, 0.892683, 0.969388, 0.933333, 0.973214, 0.885167, 0.967611, 0.901408, 0.977941, 0.966667, 1.000000, 1.000000, 1.000000, 0.963542, 0.868421, 
0.6, 0.934447, 0.850877, 0.963340, 0.833333, 0.973214, 0.867816, 0.963340, 0.882927, 0.963265, 0.933333, 0.973214, 0.870813, 0.961538, 0.873239, 0.977941, 0.966667, 1.000000, 1.000000, 1.000000, 0.955729, 0.850877, 
0.7, 0.920308, 0.815789, 0.955193, 0.833333, 0.964286, 0.844828, 0.955193, 0.858537, 0.955102, 0.933333, 0.964286, 0.846890, 0.953441, 0.845070, 0.970588, 0.933333, 0.982759, 1.000000, 1.000000, 0.950521, 0.815789, 
0.8, 0.906170, 0.815789, 0.938900, 0.800000, 0.964286, 0.833333, 0.938900, 0.843902, 0.938776, 0.933333, 0.964286, 0.837321, 0.937247, 0.845070, 0.963235, 0.933333, 0.982759, 0.933333, 0.978723, 0.937500, 0.815789, 
0.9, 0.898458, 0.815789, 0.934827, 0.766667, 0.955357, 0.821839, 0.934827, 0.834146, 0.934694, 0.866667, 0.955357, 0.822967, 0.933198, 0.845070, 0.948529, 0.933333, 0.965517, 0.933333, 0.936170, 0.932292, 0.815789, 
1.0, 0.883033, 0.771930, 0.922607, 0.766667, 0.946429, 0.793103, 0.922607, 0.809756, 0.924490, 0.833333, 0.946429, 0.794258, 0.921053, 0.845070, 0.933824, 0.933333, 0.965517, 0.933333, 0.936170, 0.919271, 0.771930, 
1.1, 0.863753, 0.736842, 0.908350, 0.700000, 0.946429, 0.758621, 0.908350, 0.780488, 0.910204, 0.833333, 0.946429, 0.760766, 0.906883, 0.816901, 0.933824, 0.933333, 0.965517, 0.933333, 0.936170, 0.901042, 0.736842, 
1.2, 0.854756, 0.728070, 0.898167, 0.700000, 0.937500, 0.752874, 0.898167, 0.770732, 0.900000, 0.833333, 0.937500, 0.751196, 0.896761, 0.816901, 0.926471, 0.866667, 0.948276, 0.933333, 0.936170, 0.893229, 0.728070, 
1.3, 0.850900, 0.719298, 0.894094, 0.700000, 0.937500, 0.747126, 0.894094, 0.765854, 0.895918, 0.833333, 0.937500, 0.746411, 0.892713, 0.816901, 0.926471, 0.800000, 0.948276, 0.933333, 0.936170, 0.893229, 0.719298, 
1.4, 0.843188, 0.719298, 0.885947, 0.700000, 0.928571, 0.741379, 0.885947, 0.760976, 0.887755, 0.800000, 0.928571, 0.741627, 0.884615, 0.816901, 0.911765, 0.800000, 0.948276, 0.933333, 0.914894, 0.882813, 0.719298, 
1.5, 0.834190, 0.684211, 0.881874, 0.700000, 0.919643, 0.712644, 0.881874, 0.736585, 0.883673, 0.800000, 0.919643, 0.722488, 0.880567, 0.816901, 0.904412, 0.800000, 0.931034, 0.933333, 0.914894, 0.877604, 0.684211, 
1.6, 0.827763, 0.675439, 0.875764, 0.700000, 0.892857, 0.706897, 0.875764, 0.726829, 0.877551, 0.800000, 0.892857, 0.717703, 0.874494, 0.816901, 0.882353, 0.800000, 0.896552, 0.933333, 0.914894, 0.869792, 0.675439, 
1.7, 0.816195, 0.649123, 0.867617, 0.666667, 0.883929, 0.683908, 0.867617, 0.707317, 0.869388, 0.800000, 0.883929, 0.693780, 0.866397, 0.802817, 0.875000, 0.766667, 0.879310, 0.933333, 0.893617, 0.861979, 0.649123, 
1.8, 0.813625, 0.640351, 0.865580, 0.666667, 0.883929, 0.678161, 0.865580, 0.702439, 0.867347, 0.800000, 0.883929, 0.688995, 0.864372, 0.802817, 0.875000, 0.766667, 0.879310, 0.900000, 0.893617, 0.861979, 0.640351, 
1.9, 0.808475, 0.622807, 0.863539, 0.666667, 0.874909, 0.660920, 0.863539, 0.687805, 0.865301, 0.800000, 0.874909, 0.674641, 0.862343, 0.802817, 0.867585, 0.766667, 0.879310, 0.900000, 0.893617, 0.859367, 0.622807, 
2.0, 0.800751, 0.622807, 0.855373, 0.666667, 0.856870, 0.655172, 0.855373, 0.682927, 0.857119, 0.766667, 0.856870, 0.665072, 0.854227, 0.802817, 0.852754, 0.766667, 0.862069, 0.900000, 0.872340, 0.848919, 0.622807, 
2.1, 0.791739, 0.605263, 0.847207, 0.666667, 0.856870, 0.643678, 0.847207, 0.673171, 0.848936, 0.766667, 0.856870, 0.660287, 0.846111, 0.788732, 0.852754, 0.766667, 0.862069, 0.900000, 0.872340, 0.838471, 0.605263, 
