((hr, (hr, (62.0, 111.0>) -> (hr, (62.0, 111.0>)) AND (age, (age, (69.5, 71.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (sho, (sho, (-inf, 0.5>) -> (sho, (-inf, 0.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (71.5, 73.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (-inf, 52.0>) -> (hr, (52.0, 62.0>)))
((sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (28.23666, 28.80703>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (bmi, (bmi, (31.644505000000002, 42.92046>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (80.5, 84.5>) -> (age, (85.5, inf))))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (-inf, 52.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (80.5, 84.5>) -> (age, (85.5, inf))))
((hr, (hr, (62.0, 111.0>) -> (hr, (62.0, 111.0>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (sho, (sho, (0.5, inf)) -> (sho, (-inf, 0.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, inf))))
((sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (bmi, (bmi, (19.341929999999998, 23.298195>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, inf))))
((age, (age, (69.5, 71.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (96.5, 136.5>) -> (diasbp, (59.5, 94.0>)))
((bmi, (bmi, (31.644505000000002, 42.92046>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (71.5, 73.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (bmi, (bmi, (27.693260000000002, 28.23666>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (80.5, 84.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (31.644505000000002, 42.92046>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, inf))))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (96.5, 136.5>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (69.5, 71.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (80.5, 84.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (-inf, 52.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (74.5, 80.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (15.5, 49.5>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (71.5, 73.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((hr, (hr, (125.5, inf)) -> (hr, (62.0, 111.0>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (sho, (sho, (-inf, 0.5>) -> (sho, (-inf, 0.5>)))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (bmi, (bmi, (31.644505000000002, 42.92046>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (31.644505000000002, 42.92046>)) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (96.5, 136.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (71.5, 73.5>) -> (age, (85.5, inf))))
((diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (hr, (hr, (62.0, 111.0>) -> (hr, (62.0, 111.0>)))
((age, (age, (84.5, 85.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (125.5, inf)) -> (hr, (52.0, 62.0>)))
