attribute,value
hr,"(-inf, 52.0>"
hr,"(52.0, 62.0>"
hr,"(62.0, 111.0>"
hr,"(111.0, 114.5>"
hr,"(114.5, 117.5>"
hr,"(117.5, 119.5>"
hr,"(119.5, 125.5>"
hr,"(125.5, inf)"
age,"(-inf, 69.5>"
age,"(69.5, 71.5>"
age,"(71.5, 73.5>"
age,"(73.5, 74.5>"
age,"(74.5, 80.5>"
age,"(80.5, 84.5>"
age,"(84.5, 85.5>"
age,"(85.5, inf)"
diasbp,"(-inf, 15.5>"
diasbp,"(15.5, 49.5>"
diasbp,"(49.5, 59.5>"
diasbp,"(59.5, 94.0>"
diasbp,"(94.0, 95.0>"
diasbp,"(95.0, 96.5>"
diasbp,"(96.5, 136.5>"
diasbp,"(136.5, inf)"
bmi,"(-inf, 15.19482>"
bmi,"(15.19482, 15.384889999999999>"
bmi,"(15.384889999999999, 18.841839999999998>"
bmi,"(18.841839999999998, 19.322715000000002>"
bmi,"(19.322715000000002, 19.341929999999998>"
bmi,"(19.341929999999998, 23.298195>"
bmi,"(23.298195, 27.693260000000002>"
bmi,"(27.693260000000002, 28.23666>"
bmi,"(28.23666, 28.80703>"
bmi,"(28.80703, 29.327815>"
bmi,"(29.327815, 29.550220000000003>"
bmi,"(29.550220000000003, 31.644505000000002>"
bmi,"(31.644505000000002, 42.92046>"
bmi,"(42.92046, 43.8024>"
bmi,"(43.8024, inf)"
sysbp,"(-inf, 70.0>"
sysbp,"(70.0, 84.5>"
sysbp,"(84.5, 206.5>"
sysbp,"(206.5, inf)"
sho,"(-inf, 0.5>"
sho,"(0.5, inf)"
