time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
1.0, 0.984444, 0.875000, 1.000000, 0.948276, 1.000000, 0.949495, 1.000000, 0.962963, 1.000000, 0.964029, 1.000000, 0.974619, 0.990950, 1.000000, 0.948718, 0.983957, 1.000000, 
2.0, 0.966667, 0.825000, 0.994819, 0.931034, 0.994924, 0.898990, 0.994924, 0.918519, 0.995025, 0.920863, 0.995098, 0.939086, 0.986425, 0.995025, 0.897436, 0.967914, 0.988889, 
3.0, 0.962222, 0.800000, 0.994819, 0.896552, 0.994924, 0.878788, 0.994924, 0.903704, 0.995025, 0.906475, 0.995098, 0.928934, 0.986425, 0.995025, 0.871795, 0.957219, 0.988889, 
4.0, 0.957778, 0.775000, 0.994819, 0.896552, 0.994924, 0.878788, 0.994924, 0.896296, 0.995025, 0.906475, 0.995098, 0.918782, 0.986425, 0.995025, 0.846154, 0.957219, 0.988889, 
5.0, 0.955556, 0.775000, 0.994819, 0.896552, 0.994924, 0.868687, 0.994924, 0.888889, 0.995025, 0.899281, 0.995098, 0.913706, 0.986425, 0.995025, 0.846154, 0.957219, 0.988889, 
6.0, 0.944444, 0.700000, 0.989637, 0.844828, 0.994924, 0.828283, 0.994924, 0.859259, 0.995025, 0.870504, 0.995098, 0.893401, 0.981900, 0.995025, 0.794872, 0.935829, 0.988889, 
7.0, 0.931111, 0.650000, 0.989637, 0.793103, 0.994924, 0.797980, 0.994924, 0.829630, 0.995025, 0.841727, 0.995098, 0.868020, 0.981900, 0.995025, 0.743590, 0.914439, 0.988889, 
10.0, 0.926667, 0.650000, 0.989637, 0.775862, 0.994924, 0.777778, 0.994924, 0.814815, 0.995025, 0.827338, 0.995098, 0.857868, 0.981900, 0.995025, 0.743590, 0.909091, 0.988889, 
11.0, 0.917778, 0.600000, 0.989637, 0.724138, 0.994924, 0.747475, 0.994924, 0.792593, 0.995025, 0.805755, 0.990196, 0.842640, 0.977376, 0.995025, 0.692308, 0.898396, 0.988889, 
14.0, 0.915556, 0.600000, 0.989637, 0.706897, 0.994924, 0.737374, 0.994924, 0.785185, 0.995025, 0.798561, 0.990196, 0.837563, 0.977376, 0.995025, 0.666667, 0.893048, 0.988889, 
16.0, 0.913333, 0.575000, 0.989637, 0.689655, 0.994924, 0.727273, 0.994924, 0.777778, 0.995025, 0.791367, 0.990196, 0.832487, 0.977376, 0.995025, 0.641026, 0.887701, 0.988889, 
17.0, 0.908889, 0.575000, 0.984456, 0.689655, 0.989848, 0.717172, 0.989848, 0.770370, 0.990050, 0.784173, 0.985294, 0.827411, 0.972851, 0.990050, 0.641026, 0.887701, 0.988889, 
18.0, 0.902222, 0.575000, 0.974093, 0.689655, 0.984772, 0.717172, 0.984772, 0.762963, 0.985075, 0.784173, 0.980392, 0.822335, 0.963801, 0.985075, 0.641026, 0.882353, 0.977778, 
19.0, 0.895556, 0.500000, 0.974093, 0.637931, 0.984772, 0.686869, 0.984772, 0.740741, 0.985075, 0.762590, 0.980392, 0.807107, 0.963801, 0.985075, 0.564103, 0.871658, 0.977778, 
20.0, 0.891111, 0.475000, 0.968912, 0.620690, 0.984772, 0.676768, 0.984772, 0.733333, 0.985075, 0.755396, 0.980392, 0.802030, 0.959276, 0.985075, 0.538462, 0.860963, 0.977778, 
22.0, 0.886667, 0.450000, 0.968912, 0.620690, 0.984772, 0.676768, 0.984772, 0.725926, 0.985075, 0.748201, 0.980392, 0.796954, 0.959276, 0.985075, 0.512821, 0.850267, 0.977778, 
26.0, 0.884444, 0.450000, 0.968912, 0.603448, 0.984772, 0.666667, 0.984772, 0.718519, 0.985075, 0.741007, 0.980392, 0.791878, 0.959276, 0.985075, 0.512821, 0.844920, 0.977778, 
31.0, 0.882222, 0.450000, 0.968912, 0.603448, 0.984772, 0.666667, 0.984772, 0.718519, 0.985075, 0.733813, 0.980392, 0.786802, 0.959276, 0.985075, 0.512821, 0.839572, 0.977778, 
32.0, 0.877778, 0.450000, 0.963731, 0.603448, 0.979695, 0.666667, 0.979695, 0.718519, 0.980100, 0.733813, 0.975490, 0.786802, 0.950226, 0.980100, 0.512821, 0.828877, 0.977778, 
33.0, 0.871111, 0.425000, 0.963731, 0.568966, 0.979695, 0.636364, 0.979695, 0.696296, 0.980100, 0.712230, 0.975490, 0.771574, 0.950226, 0.980100, 0.461538, 0.818182, 0.977778, 
34.0, 0.868889, 0.425000, 0.963731, 0.551724, 0.979695, 0.626263, 0.979695, 0.688889, 0.980100, 0.705036, 0.975490, 0.766497, 0.950226, 0.980100, 0.461538, 0.812834, 0.977778, 
37.0, 0.866667, 0.425000, 0.963731, 0.551724, 0.979695, 0.626263, 0.979695, 0.681481, 0.980100, 0.705036, 0.975490, 0.761421, 0.950226, 0.980100, 0.461538, 0.812834, 0.977778, 
42.0, 0.864444, 0.425000, 0.963731, 0.551724, 0.979695, 0.616162, 0.979695, 0.674074, 0.980100, 0.697842, 0.975490, 0.756345, 0.950226, 0.980100, 0.461538, 0.807487, 0.977778, 
46.0, 0.862222, 0.425000, 0.963731, 0.551724, 0.974619, 0.616162, 0.974619, 0.674074, 0.975124, 0.697842, 0.970588, 0.756345, 0.945701, 0.975124, 0.461538, 0.807487, 0.977778, 
49.0, 0.860000, 0.425000, 0.963731, 0.534483, 0.974619, 0.606061, 0.974619, 0.666667, 0.975124, 0.690647, 0.970588, 0.751269, 0.945701, 0.975124, 0.461538, 0.802139, 0.977778, 
52.0, 0.857778, 0.425000, 0.963731, 0.517241, 0.974619, 0.595960, 0.974619, 0.659259, 0.975124, 0.683453, 0.970588, 0.746193, 0.945701, 0.975124, 0.461538, 0.796791, 0.977778, 
53.0, 0.855556, 0.425000, 0.958549, 0.517241, 0.969543, 0.595960, 0.969543, 0.659259, 0.970149, 0.683453, 0.965686, 0.746193, 0.941176, 0.970149, 0.461538, 0.791444, 0.977778, 
57.0, 0.853333, 0.425000, 0.958549, 0.500000, 0.969543, 0.585859, 0.969543, 0.651852, 0.970149, 0.676259, 0.965686, 0.741117, 0.941176, 0.970149, 0.461538, 0.786096, 0.977778, 
60.0, 0.851111, 0.425000, 0.958549, 0.482759, 0.969543, 0.575758, 0.969543, 0.644444, 0.970149, 0.669065, 0.965686, 0.736041, 0.941176, 0.970149, 0.461538, 0.780749, 0.977778, 
61.0, 0.848889, 0.425000, 0.958549, 0.482759, 0.969543, 0.575758, 0.969543, 0.644444, 0.970149, 0.669065, 0.965686, 0.736041, 0.941176, 0.970149, 0.461538, 0.780749, 0.977778, 
62.0, 0.846667, 0.400000, 0.958549, 0.482759, 0.969543, 0.575758, 0.969543, 0.644444, 0.970149, 0.661871, 0.965686, 0.730964, 0.941176, 0.970149, 0.461538, 0.775401, 0.977778, 
64.0, 0.842222, 0.375000, 0.953368, 0.465517, 0.964467, 0.565657, 0.964467, 0.637037, 0.965174, 0.654676, 0.960784, 0.725888, 0.936652, 0.965174, 0.435897, 0.770053, 0.977778, 
