time, entire-set, r1_l, r1_r, r2_l, r2_r, 
30.0, 0.988889, 1.000000, 0.966667, 0.966667, 1.000000, 
33.0, 0.977778, 1.000000, 0.933333, 0.933333, 1.000000, 
36.0, 0.966667, 1.000000, 0.933333, 0.933333, 1.000000, 
38.0, 0.955556, 1.000000, 0.900000, 0.900000, 1.000000, 
45.0, 0.944444, 1.000000, 0.866667, 0.866667, 1.000000, 
47.0, 0.933333, 1.000000, 0.833333, 0.833333, 1.000000, 
48.0, 0.922222, 1.000000, 0.800000, 0.800000, 1.000000, 
53.0, 0.900000, 1.000000, 0.800000, 0.800000, 1.000000, 
54.0, 0.888889, 1.000000, 0.800000, 0.766667, 1.000000, 
55.0, 0.877778, 1.000000, 0.800000, 0.766667, 1.000000, 
67.0, 0.855556, 1.000000, 0.766667, 0.733333, 0.967742, 
70.0, 0.844444, 1.000000, 0.766667, 0.733333, 0.935484, 
71.0, 0.833333, 1.000000, 0.766667, 0.733333, 0.903226, 
72.0, 0.822222, 0.966667, 0.766667, 0.733333, 0.870968, 
73.0, 0.811111, 0.933333, 0.766667, 0.733333, 0.838710, 
75.0, 0.788889, 0.933333, 0.733333, 0.700000, 0.838710, 
77.0, 0.777778, 0.933333, 0.733333, 0.700000, 0.838710, 
82.0, 0.766667, 0.933333, 0.700000, 0.666667, 0.838710, 
87.0, 0.755556, 0.933333, 0.700000, 0.666667, 0.838710, 
88.0, 0.744444, 0.933333, 0.666667, 0.633333, 0.838710, 
93.0, 0.733333, 0.933333, 0.633333, 0.600000, 0.838710, 
96.0, 0.711111, 0.866667, 0.633333, 0.600000, 0.838710, 
97.0, 0.700000, 0.866667, 0.600000, 0.566667, 0.838710, 
100.0, 0.688889, 0.866667, 0.566667, 0.533333, 0.838710, 
104.0, 0.677778, 0.866667, 0.566667, 0.533333, 0.838710, 
105.0, 0.666667, 0.866667, 0.566667, 0.500000, 0.838710, 
109.0, 0.655556, 0.866667, 0.566667, 0.500000, 0.838710, 
111.0, 0.644444, 0.866667, 0.533333, 0.466667, 0.838710, 
112.0, 0.622222, 0.866667, 0.500000, 0.433333, 0.838710, 
120.0, 0.588889, 0.833333, 0.466667, 0.400000, 0.806452, 
122.0, 0.577778, 0.833333, 0.466667, 0.400000, 0.806452, 
124.0, 0.566667, 0.833333, 0.466667, 0.400000, 0.806452, 
125.0, 0.544444, 0.800000, 0.466667, 0.400000, 0.774194, 
129.0, 0.533333, 0.800000, 0.433333, 0.366667, 0.774194, 
132.0, 0.488889, 0.733333, 0.366667, 0.333333, 0.709677, 
133.0, 0.477778, 0.700000, 0.366667, 0.333333, 0.677419, 
135.0, 0.466667, 0.700000, 0.333333, 0.333333, 0.677419, 
136.0, 0.455556, 0.666667, 0.333333, 0.333333, 0.645161, 
139.0, 0.444444, 0.666667, 0.333333, 0.300000, 0.645161, 
142.0, 0.433333, 0.666667, 0.300000, 0.300000, 0.645161, 
143.0, 0.422222, 0.666667, 0.266667, 0.266667, 0.645161, 
144.0, 0.411111, 0.633333, 0.266667, 0.266667, 0.612903, 
145.0, 0.388889, 0.600000, 0.266667, 0.233333, 0.580645, 
146.0, 0.366667, 0.566667, 0.266667, 0.233333, 0.548387, 
147.0, 0.355556, 0.566667, 0.233333, 0.200000, 0.548387, 
149.0, 0.344444, 0.566667, 0.200000, 0.200000, 0.548387, 
151.0, 0.333333, 0.533333, 0.200000, 0.200000, 0.516129, 
155.0, 0.322222, 0.533333, 0.200000, 0.200000, 0.516129, 
157.0, 0.311111, 0.533333, 0.166667, 0.166667, 0.516129, 
158.0, 0.300000, 0.500000, 0.166667, 0.166667, 0.483871, 
159.0, 0.277778, 0.466667, 0.133333, 0.166667, 0.451613, 
161.0, 0.255556, 0.400000, 0.133333, 0.166667, 0.387097, 
163.0, 0.244444, 0.400000, 0.100000, 0.133333, 0.387097, 
164.0, 0.233333, 0.366667, 0.100000, 0.133333, 0.354839, 
165.0, 0.222222, 0.366667, 0.100000, 0.100000, 0.354839, 
167.0, 0.211111, 0.366667, 0.100000, 0.066667, 0.354839, 
171.0, 0.188889, 0.366667, 0.066667, 0.033333, 0.354839, 

