attribute,value
age,"(-inf, 15.66>"
age,"(15.66, 16.36>"
age,"(16.36, 18.625>"
age,"(18.625, 20.835>"
age,"(20.835, 21.795>"
age,"(21.795, 29.595>"
age,"(29.595, 30.810000000000002>"
age,"(30.810000000000002, 31.235>"
age,"(31.235, 31.82>"
age,"(31.82, 33.760000000000005>"
age,"(33.760000000000005, 35.0>"
age,"(35.0, 36.010000000000005>"
age,"(36.010000000000005, 36.315>"
age,"(36.315, 36.32>"
age,"(36.32, 36.725>"
age,"(36.725, 36.925>"
age,"(36.925, 42.315>"
age,"(42.315, 42.835>"
age,"(42.835, 45.31>"
age,"(45.31, 49.09>"
age,"(49.09, 54.615>"
age,"(54.615, inf)"
medwidsi,{N}
trtgiven,{RT}
extranod,{N}
clinstg,"(-inf, 1.5>"
clinstg,"(1.5, inf)"
