attribute,value
mspike,"(-inf, 0.7000000000000001>"
mspike,"(0.7000000000000001, 1.05>"
mspike,"(1.05, inf)"
hgb,"(-inf, 9.95>"
hgb,"(9.95, 11.350000000000001>"
hgb,"(11.350000000000001, 13.649999999999999>"
hgb,"(13.649999999999999, 14.149999999999999>"
hgb,"(14.149999999999999, 14.2>"
hgb,"(14.2, inf)"
dxyr,"(-inf, 59.5>"
dxyr,"(59.5, 62.5>"
dxyr,"(62.5, 67.5>"
dxyr,"(67.5, inf)"
alb,"(-inf, 3.45>"
alb,"(3.45, inf)"
age,"(-inf, 35.0>"
age,"(35.0, 55.5>"
age,"(55.5, 61.5>"
age,"(61.5, 63.5>"
age,"(63.5, 65.5>"
age,"(65.5, 74.5>"
age,"(74.5, inf)"
