((SensorMeasure15, (SensorMeasure15, (9.397, inf)) -> (SensorMeasure15, (8.4178, 9.318999999999999>)) AND (OpSet2, (OpSet2, (0.2505, 0.62165>) -> (OpSet2, (-inf, 0.25025>)) AND (SensorMeasure11, (SensorMeasure11, (-inf, 42.05>) -> (SensorMeasure11, (42.05, 47.53>)))
((SensorMeasure4, (SensorMeasure4, (1133.4, inf)) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.025, inf)) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1365.705, inf)) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
((SensorMeasure13, (SensorMeasure13, (2388.025, inf)) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1352.8600000000001, 1365.705>) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
((SensorMeasure4, (SensorMeasure4, (1046.9899999999998, 1125.67>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure4, (SensorMeasure4, (1046.9899999999998, 1125.67>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure4, (SensorMeasure4, (1128.145, 1133.4>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure13, (SensorMeasure13, (2028.315, 2388.025>) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1365.705, inf)) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
((SensorMeasure4, (SensorMeasure4, (1133.4, inf)) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure4, (SensorMeasure4, (1128.145, 1133.4>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure13, (SensorMeasure13, (-inf, 2028.315>) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1255.92, 1351.2150000000001>) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
((SensorMeasure4, (SensorMeasure4, (1125.67, 1127.5349999999999>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure4, (SensorMeasure4, (1133.4, inf)) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure4, (SensorMeasure4, (1133.4, inf)) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure13, (SensorMeasure13, (2028.315, 2388.025>) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1352.8600000000001, 1365.705>) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
((SensorMeasure13, (SensorMeasure13, (2028.315, 2388.025>) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1365.705, inf)) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
((SensorMeasure4, (SensorMeasure4, (1125.67, 1127.5349999999999>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure11, (SensorMeasure11, (42.05, 47.53>) -> (SensorMeasure11, (-inf, 42.05>)) AND (SensorMeasure3, (SensorMeasure3, (1365.705, inf)) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)) AND (SensorMeasure8, (SensorMeasure8, (2318.925, 2324.01>) -> (SensorMeasure8, (1915.345, 2211.955>)))
((SensorMeasure4, (SensorMeasure4, (1133.4, inf)) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.025, inf)) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1352.8600000000001, 1365.705>) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
((SensorMeasure4, (SensorMeasure4, (1046.9899999999998, 1125.67>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure11, (SensorMeasure11, (42.05, 47.53>) -> (SensorMeasure11, (-inf, 42.05>)) AND (SensorMeasure3, (SensorMeasure3, (1352.8600000000001, 1365.705>) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)) AND (SensorMeasure8, (SensorMeasure8, (1915.345, 2211.955>) -> (SensorMeasure8, (1915.345, 2211.955>)))
((SensorMeasure4, (SensorMeasure4, (1046.9899999999998, 1125.67>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure4, (SensorMeasure4, (1133.4, inf)) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure4, (SensorMeasure4, (1046.9899999999998, 1125.67>) -> (SensorMeasure4, (1128.145, 1133.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.025, inf)) -> (SensorMeasure13, (2028.315, 2388.025>)) AND (SensorMeasure3, (SensorMeasure3, (1365.705, inf)) -> (SensorMeasure3, (1255.92, 1351.2150000000001>)))
