id,left,right
0,20,20
1,24,26
2,75,22
3,89,21
4,458,21
5,284,26
6,458,21
7,88,53
8,284,26
9,612,53
10,458,21
11,458,21
12,1004,32
13,1004,32
14,1004,1004
15,5,26
16,1004,32
17,227,26
18,612,53
19,458,21
20,1004,32
21,1004,32
22,1004,32
23,612,53
24,16,53
25,104,21
26,612,53
27,20,53
28,1004,32
29,612,53
30,58,21
31,612,53
32,32,53
33,1004,32
34,1004,32
35,93,26
36,612,53
37,284,26
38,88,20
39,148,26
40,53,53
41,1004,32
42,58,21
43,612,53
44,458,21
45,107,53
46,1004,32
47,1004,32
48,458,21
49,14,53
50,1004,32
51,148,26
52,612,53
53,107,53
54,612,53
55,227,26
56,4,21
57,36,53
58,107,53
59,1004,32
60,1004,32
61,26,26
62,88,53
63,1,53
64,36,53
65,1004,32
66,76,26
67,612,53
68,1004,32
69,612,53
70,1004,32
71,1004,32
72,1004,32
73,88,53
74,612,53
75,1004,32
76,1004,32
77,1004,32
78,458,21
79,5,21
80,1004,32
81,1004,32
82,88,53
83,1004,32
84,104,21
85,14,53
86,76,26
87,284,26
88,1004,32
89,26,26
90,32,53
91,1004,32
92,458,21
93,612,53
94,612,53
95,284,26
96,107,53
97,1004,32
98,9,53
99,107,53
100,1004,32
101,1004,32
102,1004,32
103,107,53
104,284,26
105,107,53
106,148,26
107,612,53
108,36,53
109,76,26
110,93,26
111,53,53
112,227,26
113,1004,32
114,458,21
