attribute,value
pnodes,"(-inf, 1.5>"
pnodes,"(1.5, 2.5>"
pnodes,"(2.5, 3.5>"
pnodes,"(3.5, 4.5>"
pnodes,"(4.5, 6.5>"
pnodes,"(6.5, 10.5>"
pnodes,"(10.5, 13.0>"
pnodes,"(13.0, 36.5>"
pnodes,"(36.5, inf)"
progrec,"(-inf, 2.5>"
progrec,"(2.5, 5.5>"
progrec,"(5.5, 10.5>"
progrec,"(10.5, 11.5>"
progrec,"(11.5, 24.5>"
progrec,"(24.5, 26.5>"
progrec,"(26.5, 31.5>"
progrec,"(31.5, 41.5>"
progrec,"(41.5, 55.5>"
progrec,"(55.5, 62.5>"
progrec,"(62.5, 135.0>"
progrec,"(135.0, 182.5>"
progrec,"(182.5, 572.5>"
progrec,"(572.5, inf)"
tsize,"(-inf, 7.5>"
tsize,"(7.5, 14.0>"
tsize,"(14.0, 14.5>"
tsize,"(14.5, 15.5>"
tsize,"(15.5, 18.5>"
tsize,"(18.5, 20.5>"
tsize,"(20.5, 21.5>"
tsize,"(21.5, 23.5>"
tsize,"(23.5, 32.5>"
tsize,"(32.5, 62.5>"
tsize,"(62.5, inf)"
estrec,"(-inf, 0.5>"
estrec,"(0.5, 1.0>"
estrec,"(1.0, 4.5>"
estrec,"(4.5, 7.0>"
estrec,"(7.0, 7.5>"
estrec,"(7.5, 67.0>"
estrec,"(67.0, 84.0>"
estrec,"(84.0, 167.0>"
estrec,"(167.0, 664.5>"
estrec,"(664.5, inf)"
age,"(-inf, 23.0>"
age,"(23.0, 30.5>"
age,"(30.5, 31.5>"
age,"(31.5, 32.5>"
age,"(32.5, 35.5>"
age,"(35.5, 36.5>"
age,"(36.5, 37.5>"
age,"(37.5, 39.5>"
age,"(39.5, 40.0>"
age,"(40.0, 46.5>"
age,"(46.5, inf)"
