((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.413889>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (-inf, 3.0>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (0.802778, inf))))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (30.25, 36.375>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (-inf, 3.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (-inf, 3.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (30.25, 36.375>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.413889>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (-inf, 3.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (30.25, 36.375>) -> (BECK, (-inf, 3.0>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.413889>) -> (FRAC, (0.802778, inf))))
((BECK, (BECK, (3.0, 4.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.7416665, 0.802778>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (-inf, 3.0>)) AND (FRAC, (FRAC, (0.147222, 0.2611115>) -> (FRAC, (0.802778, inf))))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (30.25, 36.375>) -> (BECK, (-inf, 3.0>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (0.802778, inf))))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (36.9, inf)) -> (BECK, (-inf, 3.0>)) AND (FRAC, (FRAC, (0.147222, 0.2611115>) -> (FRAC, (0.802778, inf))))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (-inf, 3.0>)) AND (FRAC, (FRAC, (-inf, 0.147222>) -> (FRAC, (0.802778, inf))))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.413889, 0.736111>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)))
((BECK, (BECK, (-inf, 3.0>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.413889>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.147222, 0.2611115>) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (12.0, 30.25>) -> (BECK, (12.0, 30.25>)) AND (FRAC, (FRAC, (0.802778, inf)) -> (FRAC, (-inf, 0.147222>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)))
((BECK, (BECK, (4.0, 12.0>) -> (BECK, (-inf, 3.0>)) AND (FRAC, (FRAC, (0.27222250000000003, 0.413889>) -> (FRAC, (0.802778, inf))))
