((age, (age, (43.2402465, 65.381246>) -> (age, (38.1574265, 41.379876499999995>)))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))))
((albumin, (albumin, (-inf, 3.1550000000000002>) -> (albumin, (4.04, 4.390000000000001>)))
((albumin, (albumin, (3.535, 3.5949999999999998>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (1.75, 2.25>) -> (bili, (8.95, inf))))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (-inf, 3.1550000000000002>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (-inf, 3.1550000000000002>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (1.75, 2.25>) -> (bili, (8.95, inf))))
((age, (age, (43.2402465, 65.381246>) -> (age, (38.1574265, 41.379876499999995>)))
((age, (age, (43.2402465, 65.381246>) -> (age, (38.1574265, 41.379876499999995>)))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (3.1950000000000003, 3.295>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (3.295, 3.535>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (1.35, 1.75>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (-inf, 3.1550000000000002>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (1.75, 2.25>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (-inf, 3.1550000000000002>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (1.75, 2.25>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((protime, (protime, (-inf, 10.350000000000001>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (3.295, 3.535>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((albumin, (albumin, (3.295, 3.535>) -> (albumin, (4.04, 4.390000000000001>)))
((protime, (protime, (10.350000000000001, 11.25>) -> (protime, (11.25, 13.1>)) AND (bili, (bili, (2.3499999999999996, 8.95>) -> (bili, (8.95, inf))))
