id,p
0,0.000000
1,0.000000
2,0.000000
3,0.000005
4,0.000000
5,0.000064
6,0.000032
7,1.000000
8,0.000032
9,0.000000
10,0.000000
11,0.000005
12,0.000001
13,0.000000
14,1.000000
15,0.000002
16,0.000000
17,0.000000
18,0.000000
19,0.081314
20,0.081314
21,0.000000
22,0.000000
23,0.000000
24,0.000008
25,0.000008
26,0.000046
27,0.081314
28,0.003349
29,0.000000
30,0.000064
31,0.000000
32,0.000001
33,0.000000
34,0.000005
35,0.000064
36,0.000000
37,0.000064
38,0.001100
39,0.000001
40,0.000000
41,0.000005
42,0.000005
43,0.000000
44,0.000000
45,0.000008
46,0.000000
47,0.000000
48,0.000000
49,0.000000
