((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure7, (SensorMeasure7, (175.10500000000002, 336.645>) -> (SensorMeasure7, (336.645, 395.28>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure7, (SensorMeasure7, (137.60500000000002, 175.10500000000002>) -> (SensorMeasure7, (336.645, 395.28>)))
((SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure7, (SensorMeasure7, (175.10500000000002, 336.645>) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)) AND (SensorMeasure9, (SensorMeasure9, (8348.27, 9056.695>) -> (SensorMeasure9, (8163.58, 8348.27>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure7, (SensorMeasure7, (175.10500000000002, 336.645>) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)) AND (SensorMeasure9, (SensorMeasure9, (-inf, 8163.58>) -> (SensorMeasure9, (8163.58, 8348.27>)))
((SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure7, (SensorMeasure7, (336.645, 395.28>) -> (SensorMeasure7, (336.645, 395.28>)))
((SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure7, (SensorMeasure7, (175.10500000000002, 336.645>) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)) AND (SensorMeasure9, (SensorMeasure9, (8348.27, 9056.695>) -> (SensorMeasure9, (8163.58, 8348.27>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure7, (SensorMeasure7, (137.60500000000002, 175.10500000000002>) -> (SensorMeasure7, (336.645, 395.28>)))
((SensorMeasure2, (SensorMeasure2, (604.52, inf)) -> (SensorMeasure2, (-inf, 549.435>)) AND (SensorMeasure3, (SensorMeasure3, (1496.675, 1597.1799999999998>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure7, (SensorMeasure7, (395.28, inf)) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure9, (SensorMeasure9, (-inf, 8163.58>) -> (SensorMeasure9, (8163.58, 8348.27>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure7, (SensorMeasure7, (175.10500000000002, 336.645>) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)) AND (SensorMeasure9, (SensorMeasure9, (-inf, 8163.58>) -> (SensorMeasure9, (8163.58, 8348.27>)))
((OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)) AND (SensorMeasure21, (SensorMeasure21, (-inf, 23.49055>) -> (SensorMeasure21, (-inf, 23.49055>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure7, (SensorMeasure7, (137.60500000000002, 175.10500000000002>) -> (SensorMeasure7, (336.645, 395.28>)))
((SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (-inf, 1347.63>)) AND (SensorMeasure7, (SensorMeasure7, (137.60500000000002, 175.10500000000002>) -> (SensorMeasure7, (137.60500000000002, 175.10500000000002>)))
