attribute,value
SHO,"(-inf, 0.5>"
SHO,"(0.5, inf)"
AGE,"(-inf, 26.0>"
AGE,"(26.0, 28.5>"
AGE,"(28.5, 30.5>"
AGE,"(30.5, 65.5>"
AGE,"(65.5, 66.5>"
AGE,"(66.5, 67.5>"
AGE,"(67.5, 69.5>"
AGE,"(69.5, 75.5>"
AGE,"(75.5, 76.5>"
AGE,"(76.5, 78.5>"
AGE,"(78.5, 85.5>"
AGE,"(85.5, 90.5>"
AGE,"(90.5, 91.0>"
AGE,"(91.0, inf)"
CHF,"(-inf, 0.5>"
CHF,"(0.5, inf)"
CPK,"(-inf, 33.0>"
CPK,"(33.0, 34.0>"
CPK,"(34.0, 49.0>"
CPK,"(49.0, 49.5>"
CPK,"(49.5, 59.0>"
CPK,"(59.0, 92.0>"
CPK,"(92.0, 288.0>"
CPK,"(288.0, 468.0>"
CPK,"(468.0, 2275.0>"
CPK,"(2275.0, 4115.5>"
CPK,"(4115.5, 4285.5>"
CPK,"(4285.5, 4770.5>"
CPK,"(4770.5, 4950.0>"
CPK,"(4950.0, 6072.5>"
CPK,"(6072.5, inf)"
