id,distance,n_actions
0,0.000000,0
1,0.047619,1
2,0.047619,1
3,0.039683,2
4,0.027778,2
5,0.048980,2
6,0.047619,1
7,0.055556,2
8,0.055556,2
9,0.027778,2
10,0.095238,2
11,0.007937,1
12,0.053061,2
13,0.047619,1
14,0.142857,3
15,0.050340,2
16,0.095238,2
17,0.055556,2
18,0.053061,2
19,0.102041,3
20,0.097959,3
21,0.035714,2
22,0.055782,2
23,0.039683,2
24,0.047619,1
25,0.050340,2
26,0.054422,2
27,0.097959,3
28,0.054422,2
29,0.047619,1
30,0.007937,1
31,0.050340,2
32,0.007937,1
33,0.053061,2
34,0.011905,1
35,0.059524,2
36,0.095238,2
37,0.095238,2
38,0.047619,1
39,0.063492,2
40,0.047619,1
41,0.095238,2
42,0.103401,3
43,0.047619,1
44,0.071429,2
45,0.035714,2
46,0.048980,2
47,0.095238,2
48,0.095238,2
49,0.095238,2
50,0.095238,2
51,0.071429,3
52,0.095238,2
53,0.051587,2
54,0.095238,2
55,0.142857,3
56,0.047619,1
57,0.067460,2
58,0.055556,2
59,0.055556,2
60,0.047619,1
61,0.095238,2
62,0.095238,2
63,0.047619,1
64,0.050340,2
65,0.015873,1
66,0.047619,1
67,0.047619,1
68,0.059524,2
69,0.055782,2
70,0.095238,2
71,0.047619,1
72,0.067460,2
73,0.095238,2
74,0.047619,1
75,0.050340,2
76,0.050340,2
77,0.095238,2
78,0.048980,2
79,0.095238,2
80,0.015873,1
81,0.095238,2
82,0.095238,2
83,0.059524,2
84,0.095238,2
85,0.055556,2
86,0.095238,2
87,0.019841,1
