time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, 
0.5, 0.994612, 1.000000, 0.991525, 1.000000, 0.991525, 0.993243, 0.993952, 0.995249, 0.994048, 0.995868, 1.000000, 0.987805, 1.000000, 0.992347, 1.000000, 0.995392, 0.995098, 0.996711, 0.994253, 
2.0, 0.993534, 1.000000, 0.988701, 1.000000, 0.988701, 0.993243, 0.991935, 0.995249, 0.992063, 0.991736, 1.000000, 0.985366, 1.000000, 0.992347, 0.996350, 0.990783, 0.995098, 0.993421, 0.994253, 
4.0, 0.992457, 1.000000, 0.985876, 1.000000, 0.985876, 0.993243, 0.989919, 0.995249, 0.990079, 0.987603, 1.000000, 0.982927, 1.000000, 0.992347, 0.992701, 0.990783, 0.995098, 0.990132, 0.994253, 
6.0, 0.991379, 1.000000, 0.985876, 1.000000, 0.985876, 0.989865, 0.989919, 0.992874, 0.990079, 0.987603, 1.000000, 0.980488, 1.000000, 0.989796, 0.992701, 0.990783, 0.995098, 0.990132, 0.991379, 
8.0, 0.990302, 1.000000, 0.985876, 0.996997, 0.985876, 0.989865, 0.989919, 0.990499, 0.990079, 0.987603, 1.000000, 0.980488, 0.997849, 0.989796, 0.992701, 0.990783, 0.995098, 0.986842, 0.991379, 
10.0, 0.989224, 1.000000, 0.983051, 0.996997, 0.983051, 0.989865, 0.987903, 0.990499, 0.988095, 0.983471, 1.000000, 0.978049, 0.997849, 0.989796, 0.992701, 0.986175, 0.995098, 0.983553, 0.991379, 
12.0, 0.988147, 1.000000, 0.980226, 0.996997, 0.980226, 0.989865, 0.985887, 0.990499, 0.986111, 0.983471, 1.000000, 0.975610, 0.997849, 0.989796, 0.992701, 0.986175, 0.995098, 0.983553, 0.991379, 
13.0, 0.987069, 1.000000, 0.977401, 0.996997, 0.977401, 0.989865, 0.983871, 0.990499, 0.984127, 0.979339, 1.000000, 0.973171, 0.997849, 0.989796, 0.989051, 0.986175, 0.995098, 0.983553, 0.991379, 
14.0, 0.984914, 0.996078, 0.974576, 0.993994, 0.974576, 0.986486, 0.981855, 0.988124, 0.982143, 0.979339, 0.996466, 0.970732, 0.995699, 0.987245, 0.989051, 0.986175, 0.990196, 0.983553, 0.988506, 
16.0, 0.981681, 0.992157, 0.968927, 0.990991, 0.968927, 0.983108, 0.977823, 0.985748, 0.978175, 0.975207, 0.992933, 0.965854, 0.993548, 0.984694, 0.985401, 0.981567, 0.990196, 0.980263, 0.985632, 
18.0, 0.978448, 0.988235, 0.968927, 0.984985, 0.968927, 0.979730, 0.977823, 0.978622, 0.978175, 0.971074, 0.989399, 0.963415, 0.989247, 0.982143, 0.985401, 0.976959, 0.985294, 0.976974, 0.982759, 
19.0, 0.977371, 0.988235, 0.966102, 0.984985, 0.966102, 0.979730, 0.975806, 0.978622, 0.976190, 0.966942, 0.989399, 0.960976, 0.989247, 0.982143, 0.985401, 0.976959, 0.985294, 0.973684, 0.982759, 
21.0, 0.975216, 0.988235, 0.960452, 0.984985, 0.960452, 0.979730, 0.971774, 0.978622, 0.972222, 0.962810, 0.989399, 0.956098, 0.989247, 0.979592, 0.981752, 0.972350, 0.985294, 0.970395, 0.982759, 
26.0, 0.974138, 0.988235, 0.957627, 0.984985, 0.957627, 0.979730, 0.969758, 0.978622, 0.970238, 0.958678, 0.989399, 0.953659, 0.989247, 0.979592, 0.981752, 0.967742, 0.985294, 0.967105, 0.982759, 
28.0, 0.973060, 0.988235, 0.954802, 0.984985, 0.954802, 0.979730, 0.967742, 0.978622, 0.968254, 0.954545, 0.989399, 0.951220, 0.989247, 0.979592, 0.978102, 0.963134, 0.985294, 0.963816, 0.982759, 
35.0, 0.969828, 0.988235, 0.951977, 0.981982, 0.951977, 0.979730, 0.963710, 0.976247, 0.964286, 0.954545, 0.989399, 0.948780, 0.984946, 0.979592, 0.974453, 0.953917, 0.985294, 0.957237, 0.982759, 
38.0, 0.968750, 0.988235, 0.949153, 0.981982, 0.949153, 0.979730, 0.961694, 0.976247, 0.962302, 0.950413, 0.989399, 0.946341, 0.984946, 0.979592, 0.974453, 0.949309, 0.985294, 0.953947, 0.982759, 
39.0, 0.967672, 0.988235, 0.949153, 0.981982, 0.949153, 0.979730, 0.959677, 0.976247, 0.960317, 0.950413, 0.989399, 0.946341, 0.982796, 0.979592, 0.970803, 0.949309, 0.985294, 0.950658, 0.982759, 
41.0, 0.965517, 0.988235, 0.946328, 0.981982, 0.946328, 0.979730, 0.955645, 0.976247, 0.956349, 0.950413, 0.985866, 0.943902, 0.980645, 0.974490, 0.970803, 0.949309, 0.985294, 0.950658, 0.982759, 
