((SensorMeasure13, (SensorMeasure13, (2388.115, 2388.165>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.085, 2028.3049999999998>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.085, 2028.3049999999998>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.115, 2388.165>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.115>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.085, 2028.3049999999998>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.085, 2028.3049999999998>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.165, inf)) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.085, 2028.3049999999998>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2388.115, 2388.165>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
((SensorMeasure13, (SensorMeasure13, (2028.3049999999998, 2388.045>) -> (SensorMeasure13, (2028.085, 2028.3049999999998>)))
