((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (-inf, 1.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (-inf, 9.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((condom, (condom, (1.5, 2.5>) -> (condom, (1.5, 2.5>)) AND (os12m, (os12m, (-inf, 0.5>) -> (os12m, (-inf, 0.5>)) AND (vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (abnode, (abnode, (-inf, 0.5>) -> (abnode, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (14.5, 15.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (2.5, 4.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (9.5, 10.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (2.5, inf)) -> (condom, (2.5, inf))))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
((condom, (condom, (2.5, inf)) -> (condom, (1.5, 2.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (0.5, inf))) AND (abnode, (abnode, (-inf, 0.5>) -> (abnode, (-inf, 0.5>)) AND (age, (age, (28.5, 37.5>) -> (age, (14.5, 15.5>)))
((npartner, (npartner, (1.5, 2.5>) -> (npartner, (0.5, 1.5>)) AND (dchexam, (dchexam, (0.5, inf)) -> (dchexam, (-inf, 0.5>)) AND (os12m, (os12m, (0.5, inf)) -> (os12m, (-inf, 0.5>)) AND (rash, (rash, (-inf, 0.5>) -> (rash, (-inf, 0.5>)))
((npartner, (npartner, (0.5, 1.5>) -> (npartner, (0.5, 1.5>)) AND (yschool, (yschool, (10.5, 12.5>) -> (yschool, (13.5, inf))) AND (condom, (condom, (1.5, 2.5>) -> (condom, (2.5, inf))))
