rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 2, 11.9741, 41.2621, 0.0000, 0.0000, 577.0000, 2659.0000, -2082.0000
r2, 4, 4, 1, 17.7994, 42.3948, 0.0000, 0.0000, 622.0000, 2659.0000, -2037.0000
r3, 4, 4, 1, 22.8155, 42.5566, 0.0000, 0.0000, 712.0000, 2659.0000, -1947.0000
r4, 4, 4, 1, 25.4045, 44.8220, 0.0000, 0.0000, 722.0000, 2659.0000, -1937.0000
r5, 3, 3, 0, 32.6861, 44.8220, 0.0000, 0.0000, 859.0000, 2659.0000, -1800.0000
r6, 2, 2, 0, 27.6699, 41.9094, 0.0000, 0.0000, 745.0000, 2659.0000, -1914.0000
r7, 2, 2, 0, 43.0421, 41.9094, 0.0000, 0.0000, 960.0000, 2659.0000, -1699.0000
r8, 4, 4, 1, 19.0939, 27.9935, 0.0000, 0.0000, 698.0000, 2659.0000, -1961.0000
r9, 4, 4, 1, 19.0939, 27.9935, 0.0000, 0.0000, 745.0000, 2659.0000, -1914.0000
r10, 3, 3, 0, 32.8479, 27.6699, 0.0000, 0.0000, 945.0000, 2659.0000, -1714.0000
r11, 4, 4, 1, 37.8641, 27.6699, 0.0000, 0.0000, 1140.0000, 2659.0000, -1519.0000
r12, 4, 4, 0, 43.2039, 5.0162, 0.0000, 0.0000, 2659.0000, 504.0000, 2155.0000
r13, 3, 3, 1, 33.3333, 9.2233, 0.0000, 0.0000, 2659.0000, 595.0000, 2064.0000
