id,p
0,0.000000
1,0.000000
2,0.000442
3,0.000582
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000442
10,0.000000
11,0.000000
12,0.000442
13,0.000442
14,0.000442
15,0.000000
16,0.000442
17,0.000442
18,0.000442
19,0.000442
20,0.000252
21,0.000000
22,0.000442
23,0.000442
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000077
29,0.000442
30,0.000000
31,0.000000
32,0.000000
33,0.000442
34,0.000442
35,0.000442
36,0.000442
37,0.000000
38,0.000000
39,0.000252
40,0.000000
41,0.000000
42,0.000000
43,0.000442
44,0.000000
45,0.000442
46,0.000000
47,0.000442
48,0.000442
49,0.000442
50,0.000000
51,0.000442
52,0.000000
53,0.000442
