id,left,right
0,88,31
1,145,32
2,31,142
3,94,145
4,93,32
5,10,31
6,142,31
7,142,31
8,10,31
9,92,142
10,88,31
11,142,31
12,31,142
13,10,142
14,4,142
15,88,31
16,32,145
17,11,142
18,0,142
19,31,142
20,94,145
21,142,31
22,19,142
23,22,142
24,142,31
25,6,31
26,88,31
27,142,31
28,94,145
29,92,142
30,93,32
31,142,31
32,142,31
33,92,142
34,92,142
35,4,142
36,19,142
37,88,31
38,88,31
39,32,145
40,142,31
41,142,31
42,142,31
43,92,142
44,145,32
45,92,142
46,88,31
47,92,142
48,31,142
49,22,142
50,3,31
51,31,142
52,142,31
53,31,142
