((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (68.25, 75.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (19.0, 22.5>) -> (priorzdv, (68.0, 72.0>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (57.25, 61.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (2.5, 5.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (78.25, 84.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (78.25, 84.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (2.5, inf)) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (85.75, 362.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (11.75, 19.5>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (61.25, 64.25>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (-inf, 1.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (2.5, 5.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (-inf, 1.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (11.75, 19.5>) -> (cd4, (85.75, 362.25>)))
((ivdrug, (ivdrug, (-inf, 2.0>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (68.25, 75.25>) -> (cd4, (85.75, 362.25>)))
