time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, 
0.003, 0.969152, 0.946903, 0.980892, 0.923611, 0.979839, 0.931034, 0.979839, 0.984848, 1.000000, 0.947368, 0.979839, 0.950000, 0.980892, 0.971429, 1.000000, 0.984615, 1.000000, 0.979290, 0.946903, 0.980170, 0.946903, 
0.1, 0.967866, 0.946903, 0.980892, 0.923611, 0.979839, 0.931034, 0.979839, 0.969697, 1.000000, 0.947368, 0.979839, 0.946429, 0.980892, 0.971429, 1.000000, 0.984615, 1.000000, 0.979290, 0.946903, 0.980170, 0.946903, 
0.2, 0.964010, 0.938053, 0.978769, 0.916667, 0.977823, 0.924138, 0.977823, 0.969697, 1.000000, 0.935673, 0.977823, 0.939286, 0.978769, 0.971429, 1.000000, 0.984615, 1.000000, 0.976331, 0.938053, 0.977337, 0.938053, 
0.3, 0.960154, 0.938053, 0.974522, 0.909722, 0.973790, 0.917241, 0.973790, 0.969697, 1.000000, 0.929825, 0.973790, 0.935714, 0.974522, 0.971429, 1.000000, 0.984615, 1.000000, 0.973373, 0.938053, 0.971671, 0.938053, 
0.4, 0.952442, 0.893805, 0.972399, 0.875000, 0.971774, 0.882759, 0.971774, 0.969697, 1.000000, 0.906433, 0.971774, 0.917857, 0.972399, 0.971429, 1.000000, 0.984615, 1.000000, 0.970414, 0.893805, 0.968839, 0.893805, 
0.5, 0.940874, 0.876106, 0.966030, 0.854167, 0.965726, 0.855172, 0.965726, 0.954545, 1.000000, 0.871345, 0.965726, 0.900000, 0.966030, 0.971429, 1.000000, 0.984615, 1.000000, 0.961538, 0.876106, 0.960340, 0.876106, 
0.6, 0.933162, 0.858407, 0.961783, 0.840278, 0.961694, 0.841379, 0.961694, 0.954545, 1.000000, 0.853801, 0.961694, 0.885714, 0.961783, 0.971429, 1.000000, 0.984615, 1.000000, 0.955621, 0.858407, 0.954674, 0.858407, 
0.7, 0.919023, 0.823009, 0.953291, 0.812500, 0.953629, 0.806897, 0.953629, 0.939394, 0.981818, 0.824561, 0.953629, 0.860714, 0.953291, 0.942857, 0.982143, 0.969231, 0.982143, 0.949704, 0.823009, 0.949008, 0.823009, 
0.8, 0.904884, 0.823009, 0.936306, 0.812500, 0.935484, 0.800000, 0.935484, 0.909091, 0.981818, 0.818713, 0.935484, 0.853571, 0.936306, 0.914286, 0.982143, 0.923077, 0.982143, 0.940828, 0.823009, 0.934844, 0.823009, 
0.9, 0.898458, 0.823009, 0.934183, 0.812500, 0.931452, 0.793103, 0.931452, 0.878788, 0.981818, 0.801170, 0.931452, 0.842857, 0.934183, 0.914286, 0.982143, 0.923077, 0.982143, 0.937870, 0.823009, 0.932011, 0.823009, 
1.0, 0.883033, 0.778761, 0.923567, 0.777778, 0.919355, 0.758621, 0.919355, 0.878788, 0.981818, 0.771930, 0.919355, 0.821429, 0.923567, 0.914286, 0.982143, 0.923077, 0.982143, 0.926036, 0.778761, 0.920680, 0.778761, 
1.1, 0.865039, 0.743363, 0.910828, 0.743056, 0.907258, 0.724138, 0.907258, 0.878788, 0.981818, 0.736842, 0.907258, 0.792857, 0.910828, 0.914286, 0.982143, 0.923077, 0.982143, 0.908284, 0.743363, 0.906516, 0.743363, 
1.2, 0.854756, 0.734513, 0.898089, 0.736111, 0.895161, 0.717241, 0.895161, 0.863636, 0.963636, 0.725146, 0.895161, 0.785714, 0.898089, 0.857143, 0.964286, 0.892308, 0.964286, 0.899408, 0.734513, 0.895184, 0.734513, 
1.3, 0.848329, 0.725664, 0.891720, 0.729167, 0.889113, 0.710345, 0.889113, 0.848485, 0.963636, 0.713450, 0.889113, 0.778571, 0.891720, 0.800000, 0.964286, 0.861538, 0.964286, 0.899408, 0.725664, 0.892351, 0.725664, 
1.4, 0.838046, 0.725664, 0.881104, 0.729167, 0.877016, 0.703448, 0.877016, 0.833333, 0.945455, 0.707602, 0.877016, 0.771429, 0.881104, 0.800000, 0.946429, 0.861538, 0.946429, 0.884615, 0.725664, 0.878187, 0.725664, 
1.5, 0.826478, 0.672566, 0.876858, 0.687500, 0.872984, 0.662069, 0.872984, 0.818182, 0.945455, 0.672515, 0.872984, 0.746429, 0.876858, 0.800000, 0.946429, 0.861538, 0.946429, 0.878698, 0.672566, 0.872521, 0.672566, 
