rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 1, 1, 0, 14.5244, 60.5398, 0.0000, 0.0000, 3.7000, 35.9000, -32.2000
r2, 1, 1, 0, 18.5090, 63.7532, 0.0000, 0.0000, 4.8000, 35.9000, -31.1000
r3, 2, 2, 1, 18.6375, 63.7532, 0.0000, 0.0000, 4.3000, 35.9000, -31.6000
r4, 1, 1, 0, 8.4833, 7.0694, 0.0000, 0.0024, 20.4000, 32.7000, -12.3000
r5, 3, 3, 2, 21.9794, 63.7532, 0.0000, 0.0000, 4.7000, 35.9000, -31.2000
r6, 1, 1, 0, 35.9897, 60.5398, 0.0000, 0.0000, 7.1000, 35.9000, -28.8000
r7, 2, 2, 1, 4.4987, 7.1979, 0.0000, 0.0179, 19.4000, 32.7000, -13.3000
r8, 2, 2, 1, 8.3548, 7.1979, 0.0000, 0.0191, 20.4000, 32.7000, -12.3000
r9, 1, 1, 0, 43.4447, 14.5244, 0.0000, 0.0000, 35.9000, 3.7000, 32.2000
r10, 2, 2, 1, 45.3728, 14.5244, 0.0000, 0.0000, 29.0000, 3.7000, 25.3000
