attribute,value
hr,"(-inf, 35.5>"
hr,"(35.5, 39.0>"
hr,"(39.0, 51.0>"
hr,"(51.0, 61.5>"
hr,"(61.5, 66.5>"
hr,"(66.5, 68.5>"
hr,"(68.5, 77.5>"
hr,"(77.5, 86.5>"
hr,"(86.5, 110.5>"
hr,"(110.5, 118.0>"
hr,"(118.0, 119.5>"
hr,"(119.5, 125.5>"
hr,"(125.5, 133.0>"
hr,"(133.0, 143.0>"
hr,"(143.0, inf)"
age,"(-inf, 52.5>"
age,"(52.5, 69.5>"
age,"(69.5, 71.5>"
age,"(71.5, 73.5>"
age,"(73.5, 74.5>"
age,"(74.5, 77.5>"
age,"(77.5, 83.5>"
age,"(83.5, 85.5>"
age,"(85.5, 95.0>"
age,"(95.0, inf)"
diasbp,"(-inf, 18.0>"
diasbp,"(18.0, 49.0>"
diasbp,"(49.0, 87.0>"
diasbp,"(87.0, 101.0>"
diasbp,"(101.0, 103.5>"
diasbp,"(103.5, 116.0>"
diasbp,"(116.0, 118.5>"
diasbp,"(118.5, 136.0>"
diasbp,"(136.0, inf)"
bmi,"(-inf, 15.19482>"
bmi,"(15.19482, 18.686999999999998>"
bmi,"(18.686999999999998, 19.187089999999998>"
bmi,"(19.187089999999998, 23.298195>"
bmi,"(23.298195, 25.595425>"
bmi,"(25.595425, 26.573935>"
bmi,"(26.573935, 26.75475>"
bmi,"(26.75475, 26.9063>"
bmi,"(26.9063, 28.255029999999998>"
bmi,"(28.255029999999998, 29.067965>"
bmi,"(29.067965, 40.89478>"
bmi,"(40.89478, 43.8024>"
bmi,"(43.8024, inf)"
av3,"(-inf, 0.5>"
av3,"(0.5, inf)"
sysbp,"(-inf, 84.5>"
sysbp,"(84.5, 178.5>"
sysbp,"(178.5, 213.0>"
sysbp,"(213.0, inf)"
