time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, 
0.003, 0.970475, 0.946903, 0.981928, 0.930070, 0.981964, 0.930556, 0.981964, 0.947115, 0.981928, 0.966667, 0.933333, 0.949458, 0.982072, 0.975000, 0.979167, 0.985714, 0.979167, 0.979328, 0.946903, 
0.2, 0.967908, 0.938053, 0.981928, 0.923077, 0.981964, 0.923611, 0.981964, 0.942308, 0.981928, 0.966667, 0.933333, 0.942238, 0.982072, 0.975000, 0.979167, 0.985714, 0.979167, 0.979328, 0.938053, 
0.3, 0.965340, 0.938053, 0.979920, 0.916084, 0.979960, 0.916667, 0.979960, 0.937500, 0.979920, 0.966667, 0.933333, 0.938628, 0.980080, 0.975000, 0.979167, 0.985714, 0.979167, 0.976744, 0.938053, 
0.4, 0.957638, 0.884956, 0.979920, 0.874126, 0.979960, 0.875000, 0.979960, 0.908654, 0.979920, 0.966667, 0.933333, 0.916968, 0.980080, 0.975000, 0.979167, 0.985714, 0.979167, 0.976744, 0.884956, 
0.5, 0.948652, 0.876106, 0.973896, 0.860140, 0.973948, 0.861111, 0.973948, 0.899038, 0.973896, 0.933333, 0.933333, 0.906137, 0.972112, 0.975000, 0.979167, 0.985714, 0.979167, 0.968992, 0.876106, 
0.6, 0.940950, 0.858407, 0.967871, 0.846154, 0.967936, 0.847222, 0.967936, 0.889423, 0.967871, 0.933333, 0.933333, 0.895307, 0.966135, 0.975000, 0.979167, 0.985714, 0.979167, 0.961240, 0.858407, 
0.7, 0.928113, 0.831858, 0.959839, 0.825175, 0.959920, 0.819444, 0.959920, 0.870192, 0.959839, 0.933333, 0.933333, 0.873646, 0.958167, 0.950000, 0.979167, 0.971429, 0.979167, 0.956072, 0.831858, 
0.8, 0.913992, 0.831858, 0.943775, 0.825175, 0.943888, 0.812500, 0.943888, 0.855769, 0.943775, 0.933333, 0.933333, 0.862816, 0.942231, 0.925000, 0.958333, 0.928571, 0.958333, 0.945736, 0.831858, 
0.9, 0.905006, 0.831858, 0.937751, 0.818182, 0.937876, 0.805556, 0.937876, 0.846154, 0.937751, 0.866667, 0.933333, 0.848375, 0.936255, 0.925000, 0.916667, 0.928571, 0.916667, 0.937984, 0.831858, 
1.0, 0.896021, 0.805310, 0.933735, 0.797203, 0.931864, 0.784722, 0.931864, 0.831731, 0.933735, 0.833333, 0.933333, 0.833935, 0.930279, 0.925000, 0.895833, 0.928571, 0.895833, 0.932817, 0.805310, 
1.1, 0.879332, 0.769912, 0.919679, 0.762238, 0.917836, 0.756944, 0.917836, 0.807692, 0.919679, 0.833333, 0.933333, 0.812274, 0.916335, 0.925000, 0.895833, 0.928571, 0.895833, 0.914729, 0.769912, 
1.2, 0.869063, 0.761062, 0.907631, 0.755245, 0.905812, 0.750000, 0.905812, 0.798077, 0.907631, 0.833333, 0.933333, 0.805054, 0.904382, 0.875000, 0.895833, 0.900000, 0.895833, 0.904393, 0.761062, 
1.3, 0.862644, 0.752212, 0.901606, 0.748252, 0.899800, 0.743056, 0.899800, 0.788462, 0.901606, 0.833333, 0.933333, 0.797834, 0.898406, 0.825000, 0.895833, 0.871429, 0.895833, 0.901809, 0.752212, 
