attribute,value
SensorMeasure2,"(-inf, 536.5>"
SensorMeasure2,"(536.5, 549.465>"
SensorMeasure2,"(549.465, 604.52>"
SensorMeasure2,"(604.52, 642.34>"
SensorMeasure2,"(642.34, 643.055>"
SensorMeasure2,"(643.055, inf)"
SensorMeasure14,"(-inf, 8148.595>"
SensorMeasure14,"(8148.595, inf)"
SensorMeasure13,"(-inf, 2387.995>"
SensorMeasure13,"(2387.995, 2388.0550000000003>"
SensorMeasure13,"(2388.0550000000003, 2388.0950000000003>"
SensorMeasure13,"(2388.0950000000003, inf)"
SensorMeasure3,"(-inf, 1261.7399999999998>"
SensorMeasure3,"(1261.7399999999998, 1348.2849999999999>"
SensorMeasure3,"(1348.2849999999999, 1355.385>"
SensorMeasure3,"(1355.385, 1357.115>"
SensorMeasure3,"(1357.115, 1477.9899999999998>"
SensorMeasure3,"(1477.9899999999998, 1479.5949999999998>"
SensorMeasure3,"(1479.5949999999998, 1579.0549999999998>"
SensorMeasure3,"(1579.0549999999998, 1594.74>"
SensorMeasure3,"(1594.74, 1597.1799999999998>"
SensorMeasure3,"(1597.1799999999998, inf)"
SensorMeasure11,"(-inf, 47.215>"
SensorMeasure11,"(47.215, 47.22>"
SensorMeasure11,"(47.22, 47.615>"
SensorMeasure11,"(47.615, 47.644999999999996>"
SensorMeasure11,"(47.644999999999996, inf)"
SensorMeasure8,"(-inf, 2212.005>"
SensorMeasure8,"(2212.005, 2318.875>"
SensorMeasure8,"(2318.875, 2388.025>"
SensorMeasure8,"(2388.025, inf)"
SensorMeasure17,"(-inf, 393.5>"
SensorMeasure17,"(393.5, inf)"
SensorMeasure21,"(-inf, 8.807649999999999>"
SensorMeasure21,"(8.807649999999999, 23.428150000000002>"
SensorMeasure21,"(23.428150000000002, inf)"
SensorMeasure6,"(-inf, 9.015>"
SensorMeasure6,"(9.015, 13.645>"
SensorMeasure6,"(13.645, inf)"
SensorMeasure7,"(-inf, 175.115>"
SensorMeasure7,"(175.115, 336.645>"
SensorMeasure7,"(336.645, inf)"
SensorMeasure12,"(-inf, 164.29000000000002>"
SensorMeasure12,"(164.29000000000002, 316.425>"
SensorMeasure12,"(316.425, inf)"
SensorMeasure15,"(-inf, 8.6211>"
SensorMeasure15,"(8.6211, 10.89535>"
SensorMeasure15,"(10.89535, inf)"
